team,conference,sos,osrs,dsrs,srs,year
Nebraska,Big 8,6.86,15.14,-1.58,13.56,1994
Vanderbilt,SEC (East),8.25,8.07,5.42,13.5,1994
Pittsburgh,Big East,9.88,9.35,3.46,12.8,1994
Villanova,Big East,11.2,6.16,6.64,12.8,1994
Saint Louis,GMWC,3.14,8.18,4.57,12.75,1994
Iowa,Big Ten,9.79,13.02,-1.49,11.53,1994
Georgia Tech,ACC,9.1,6.65,4.86,11.52,1994
Ohio,MAC,0.21,7.9,3.6,11.5,1994
Ohio State,Big Ten,11.74,5.92,5.29,11.21,1994
DePaul,GMWC,5.86,7.52,3.59,11.11,1994
Tulane,Metro,2.28,6.24,4.83,11.07,1994
Tulsa,MVC,2.5,8.82,2.11,10.93,1994
Northwestern,Big Ten,9.01,3.16,7.68,10.83,1994
Stanford,Pac-10,7.71,4.94,5.84,10.79,1994
Mississippi State,SEC (West),7.48,1.85,8.91,10.77,1994
Georgia,SEC (East),7.53,7.66,2.87,10.53,1994
Alabama,SEC (West),6.15,0.53,9.75,10.28,1994
Virginia Tech,Metro,3.52,0.21,9.66,9.88,1994
Virginia,ACC,11.26,-5.48,15.13,9.64,1994
Oklahoma,Big 8,9.01,15.5,-5.88,9.62,1994
Arizona State,Pac-10,7.86,5.62,3.99,9.61,1994
New Mexico,WAC,0.88,3.29,6.21,9.5,1994
Green Bay,Mid-Cont,-1.89,-9.48,18.95,9.47,1994
Florida State,ACC,7.29,6.62,2.82,9.44,1994
St. John's (NY),Big East,8.48,3.85,5.57,9.42,1994
Xavier,MW Coll,0.85,5.61,3.73,9.34,1994
Clemson,ACC,6.86,4.03,5.19,9.21,1994
George Washington,A-10,6.27,-0.53,9.7,9.17,1994
Pepperdine,WCC,2.56,-3.68,12.85,9.16,1994
West Virginia,A-10,5.05,7.63,1.46,9.09,1994
Southern Mississippi,Metro,5.7,5.67,3.1,8.77,1994
Kansas State,Big 8,6.51,-2.01,10.58,8.57,1994
Charlotte,Metro,5.9,-0.99,9.16,8.18,1994
Western Kentucky,Sun Belt,1.67,3.02,5.05,8.07,1994
Auburn,SEC (West),7.27,9.51,-1.45,8.05,1994
Gonzaga,WCC,0.05,5.44,2.36,7.8,1994
Penn State,Big Ten,8.03,-0.49,8.27,7.77,1994
Brigham Young,WAC,3.46,5.58,2.02,7.59,1994
Louisiana State,SEC (West),8.56,8.0,-0.69,7.3,1994
Virginia Commonwealth,Metro,5.9,6.11,1.02,7.12,1994
Southern Illinois,MVC,0.37,5.41,1.68,7.09,1994
Old Dominion,CAA,-2.63,7.55,-0.92,6.63,1994
Siena,MAAC,-2.05,5.28,1.28,6.55,1994
New Mexico State,Big West,-0.63,3.59,2.64,6.24,1994
San Francisco,WCC,1.24,15.44,-9.39,6.05,1994
Miami (OH),MAC,0.55,2.28,3.75,6.03,1994
Pennsylvania,Ivy,-5.15,1.4,4.52,5.93,1994
Evansville,MW Coll,-1.55,-0.18,6.07,5.89,1994
Duquesne,A-10,5.7,2.08,3.62,5.7,1994
Memphis,GMWC,5.93,0.69,4.79,5.49,1994
Manhattan,MAAC,-3.23,-0.62,6.05,5.44,1994
Santa Clara,WCC,3.27,-4.39,9.81,5.43,1994
Fresno State,WAC,2.95,3.22,2.12,5.34,1994
Louisiana,Sun Belt,-1.04,4.53,0.82,5.34,1994
Saint Joseph's,A-10,4.25,2.14,2.85,5.0,1994
Notre Dame,Ind,7.28,-0.94,5.83,4.88,1994
Weber State,Big Sky,2.1,9.17,-4.42,4.75,1994
New Orleans,Sun Belt,-0.02,-4.08,8.75,4.67,1994
College of Charleston,TAAC,-5.69,-1.5,6.12,4.61,1994
Colorado State,WAC,2.04,1.83,2.71,4.54,1994
Southern California,Pac-10,4.57,-0.26,4.76,4.5,1994
South Carolina,SEC (East),8.46,3.31,0.86,4.18,1994
Illinois State,MVC,0.69,0.88,3.26,4.14,1994
San Diego,WCC,1.77,1.62,2.44,4.06,1994
Bowling Green State,MAC,0.04,-1.26,5.31,4.04,1994
Texas Tech,SWC,0.42,8.9,-4.95,3.96,1994
Montana,Big Sky,-2.97,0.07,3.84,3.9,1994
Murray State,OVC,-4.86,10.11,-6.28,3.83,1994
Rhode Island,A-10,5.45,1.24,2.47,3.71,1994
Oregon,Pac-10,7.98,4.54,-0.96,3.58,1994
Utah,WAC,2.4,-0.8,4.35,3.55,1994
Illinois-Chicago,Mid-Cont,-3.4,10.11,-6.69,3.42,1994
Drexel,NAC,-6.21,-2.33,5.61,3.27,1994
Princeton,Ivy,-6.29,-13.63,16.84,3.21,1994
Mississippi,SEC (West),7.86,-1.11,4.31,3.19,1994
Texas A&M,SWC,1.12,-0.95,4.11,3.15,1994
Northern Iowa,MVC,-0.04,0.47,2.56,3.03,1994
Coppin State,MEAC,-7.04,-2.78,5.7,2.92,1994
Canisius,MAAC,-3.67,2.53,0.19,2.71,1994
Bradley,MVC,-1.11,-6.63,9.32,2.69,1994
Rice,SWC,1.17,-1.55,4.06,2.51,1994
Wyoming,WAC,2.47,-4.3,6.74,2.43,1994
James Madison,CAA,-1.41,7.23,-5.04,2.19,1994
Boise State,Big Sky,0.21,-4.95,7.05,2.1,1994
Chattanooga,Southern,-1.73,5.54,-3.52,2.02,1994
UTEP,WAC,2.7,-1.77,3.77,2.0,1994
NC State,ACC,7.45,-1.01,2.88,1.88,1994
Pacific,Big West,-0.47,4.09,-2.21,1.88,1994
Hawaii,WAC,4.1,0.15,1.44,1.58,1994
Richmond,CAA,-0.78,-0.8,2.37,1.58,1994
San Jose State,Big West,0.76,-2.92,4.5,1.57,1994
Butler,MW Coll,-0.01,0.52,1.01,1.53,1994
Davidson,Southern,-2.88,-0.97,2.45,1.48,1994
Idaho,Big Sky,-1.3,-3.59,5.02,1.43,1994
Ball State,MAC,-0.52,1.04,0.25,1.29,1994
Tennessee,SEC (East),7.69,-0.92,2.17,1.25,1994
Idaho State,Big Sky,-1.31,5.16,-4.01,1.15,1994
Rutgers,A-10,5.67,-1.47,2.47,1.0,1994
Saint Mary's (CA),WCC,1.72,2.44,-1.45,1.0,1994
Nevada-Las Vegas,Big West,0.36,3.0,-2.12,0.88,1994
Toledo,MAC,-2.36,-0.49,1.33,0.84,1994
Baylor,SWC,-1.02,8.05,-7.3,0.76,1994
Washington,Pac-10,8.85,-9.65,10.27,0.62,1994
Cal State Long Beach,Big West,-0.2,4.25,-3.81,0.44,1994
South Florida,Metro,5.57,-5.45,5.88,0.42,1994
Valparaiso,Mid-Cont,-5.26,-0.3,0.56,0.26,1994
Jacksonville,Sun Belt,-2.52,3.67,-3.44,0.23,1994
Missouri State,MVC,0.15,-11.46,11.61,0.15,1994
East Carolina,CAA,-3.7,-3.61,3.69,0.08,1994
Colorado,Big 8,5.32,1.05,-0.99,0.06,1994
Tennessee State,OVC,-2.74,-1.09,1.14,0.05,1994
Detroit Mercy,MW Coll,1.79,-0.86,0.81,-0.05,1994
Texas State,Southland,-7.36,-6.31,6.19,-0.12,1994
Arkansas State,Sun Belt,-2.37,-8.01,7.75,-0.26,1994
Montana State,Big Sky,-1.93,2.93,-3.41,-0.47,1994
East Tennessee State,Southern,-1.49,7.49,-8.22,-0.74,1994
Portland,WCC,3.38,3.59,-4.47,-0.88,1994
La Salle,MW Coll,2.88,-0.04,-0.85,-0.89,1994
Rider,NEC,-6.29,-2.72,1.83,-0.89,1994
St. Bonaventure,A-10,4.6,0.52,-1.51,-0.99,1994
Maine,NAC,-6.82,5.45,-6.88,-1.44,1994
Western Michigan,MAC,0.05,-3.73,2.17,-1.56,1994
Eastern Michigan,MAC,-0.61,1.24,-2.92,-1.69,1994
Miami (FL),Big East,6.29,-8.19,6.37,-1.83,1994
Nicholls State,Southland,-7.11,8.31,-10.15,-1.84,1994
Utah State,Big West,0.46,-8.11,6.25,-1.86,1994
South Alabama,Sun Belt,-1.39,-1.48,-0.46,-1.95,1994
Oregon State,Pac-10,8.18,-2.68,0.64,-2.05,1994
UNC Wilmington,CAA,-4.38,-4.35,2.29,-2.06,1994
Texas-Rio Grande Valley,Sun Belt,-2.66,-2.93,0.84,-2.08,1994
Drake,MVC,0.52,4.03,-6.2,-2.17,1994
Little Rock,Sun Belt,-3.0,-2.74,0.48,-2.26,1994
Appalachian State,Southern,-2.69,0.64,-3.06,-2.42,1994
Hartford,NAC,-4.82,-1.65,-0.92,-2.57,1994
Kent State,MAC,-1.19,-6.8,4.06,-2.74,1994
UC Santa Barbara,Big West,0.68,-8.73,5.9,-2.84,1994
Radford,Big South,-9.02,-4.14,1.2,-2.94,1994
Jackson State,SWAC,-8.87,-2.87,-0.18,-3.05,1994
Louisiana-Monroe,Southland,-6.75,2.83,-5.96,-3.13,1994
Loyola (MD),MAAC,-3.07,2.27,-5.41,-3.14,1994
Dayton,GMWC,4.46,-0.2,-3.16,-3.35,1994
Southern Utah,Ind,-5.29,-5.02,1.6,-3.43,1994
Wagner,NEC,-5.63,-2.55,-0.9,-3.45,1994
Northern Arizona,Big Sky,-2.01,3.87,-7.56,-3.69,1994
Southern Methodist,SWC,5.09,-4.8,1.12,-3.69,1994
Eastern Kentucky,OVC,-3.75,-1.06,-2.74,-3.79,1994
San Diego State,WAC,1.98,-0.54,-3.33,-3.87,1994
Houston,SWC,1.34,1.19,-5.36,-4.18,1994
Western Carolina,Southern,-1.17,-2.81,-1.67,-4.48,1994
Northern Illinois,Mid-Cont,-4.61,-3.97,-0.68,-4.65,1994
UC Irvine,Big West,0.41,4.49,-9.18,-4.7,1994
Nevada,Big West,0.37,-0.92,-3.78,-4.71,1994
Georgia Southern,Southern,-3.27,-2.55,-2.18,-4.73,1994
Cleveland State,Mid-Cont,-1.82,-1.16,-3.66,-4.82,1994
Campbell,Big South,-8.69,-8.27,3.28,-4.98,1994
Lamar,Sun Belt,-0.43,-0.6,-4.43,-5.03,1994
Saint Peter's,MAAC,-4.56,-8.71,3.59,-5.12,1994
Centenary (LA),TAAC,-7.78,3.56,-8.99,-5.43,1994
Cal State Fullerton,Big West,0.15,-3.46,-1.99,-5.45,1994
Kansas City,Ind,-1.23,-4.41,-1.1,-5.51,1994
UNC Greensboro,Big South,-8.53,-5.44,-0.08,-5.53,1994
Delaware,NAC,-6.2,-6.77,1.13,-5.64,1994
Saint Francis (PA),NEC,-6.8,-3.0,-2.81,-5.8,1994
North Texas,Southland,-6.21,-6.74,0.91,-5.83,1994
Texas Southern,SWAC,-7.39,-1.64,-4.28,-5.92,1994
TCU,SWC,1.01,-1.47,-4.49,-5.95,1994
Robert Morris,NEC,-4.6,-8.38,2.38,-6.0,1994
Central Florida,TAAC,-7.74,2.15,-8.32,-6.17,1994
Colgate,Patriot,-9.66,-0.18,-6.14,-6.31,1994
The Citadel,Southern,-3.77,-10.18,3.62,-6.57,1994
Air Force,WAC,2.39,-5.17,-1.45,-6.61,1994
Liberty,Big South,-6.95,-7.67,1.01,-6.66,1994
Monmouth,NEC,-7.7,-1.7,-5.27,-6.98,1994
New Hampshire,NAC,-6.39,-5.3,-1.83,-7.14,1994
Georgia State,TAAC,-7.72,-4.62,-2.56,-7.18,1994
Southern,SWAC,-11.93,11.77,-18.97,-7.19,1994
Florida International,TAAC,-5.32,-8.27,0.95,-7.32,1994
Marist,NEC,-8.18,-0.9,-6.47,-7.37,1994
Mount St. Mary's,NEC,-8.41,-0.55,-6.83,-7.38,1994
Fairleigh Dickinson,NEC,-5.87,-5.64,-1.81,-7.45,1994
Navy,Patriot,-8.88,-6.75,-0.79,-7.54,1994
Towson,Big South,-6.25,-3.99,-3.56,-7.55,1994
Loyola (IL),MW Coll,0.41,-6.64,-1.45,-8.09,1994
Wichita State,MVC,0.72,-8.32,0.2,-8.13,1994
Akron,MAC,-2.23,-13.44,5.29,-8.15,1994
Northeastern Illinois,ECC,-8.95,0.5,-8.68,-8.19,1994
Alabama State,SWAC,-12.04,-1.93,-6.35,-8.28,1994
Fairfield,MAAC,-2.29,-4.94,-3.39,-8.33,1994
Coastal Carolina,Big South,-7.34,-2.5,-6.01,-8.51,1994
McNeese State,Southland,-5.5,-9.64,1.02,-8.62,1994
Furman,Southern,-2.92,-4.45,-4.22,-8.66,1994
Austin Peay,OVC,-4.41,-0.27,-8.49,-8.76,1994
Morehead State,OVC,-3.59,2.64,-11.65,-9.01,1994
Samford,TAAC,-6.35,-13.93,4.93,-9.01,1994
Loyola Marymount,WCC,1.91,5.16,-14.25,-9.09,1994
UTSA,Southland,-6.45,-2.92,-6.17,-9.09,1994
Boston University,NAC,-7.0,-3.15,-6.07,-9.23,1994
Wright State,Mid-Cont,-4.15,-4.91,-4.45,-9.36,1994
Bucknell,Patriot,-8.9,0.97,-10.44,-9.47,1994
American,CAA,-2.23,-1.62,-8.02,-9.64,1994
Eastern Illinois,Mid-Cont,-4.23,-8.87,-0.82,-9.69,1994
Stetson,TAAC,-6.21,-9.48,-0.26,-9.74,1994
Creighton,MVC,-0.05,-9.51,-0.28,-9.79,1994
Milwaukee,Mid-Cont,-4.41,-7.29,-2.49,-9.79,1994
Northwestern State,Southland,-6.47,5.16,-15.04,-9.88,1994
George Mason,CAA,-4.21,10.12,-20.03,-9.91,1994
North Carolina A&T,MEAC,-7.83,-2.33,-7.75,-10.08,1994
Southeast Missouri State,OVC,-6.59,0.87,-11.19,-10.32,1994
Holy Cross,Patriot,-6.39,5.39,-15.85,-10.46,1994
Fordham,Patriot,-7.15,-10.48,-0.13,-10.61,1994
South Carolina State,MEAC,-9.75,-8.19,-2.45,-10.64,1994
Cal State Northridge,Ind,-1.19,-2.78,-7.93,-10.71,1994
Middle Tennessee,OVC,-4.78,-9.88,-0.94,-10.82,1994
Indiana State,MVC,0.35,-9.87,-1.13,-11.0,1994
Tennessee Tech,OVC,-1.62,2.9,-13.95,-11.05,1994
Stephen F. Austin,Southland,-4.95,-10.65,-0.45,-11.1,1994
Charleston Southern,Big South,-6.99,5.05,-16.46,-11.41,1994
Northeastern,NAC,-3.7,-6.78,-5.27,-12.05,1994
Marshall,Southern,-2.04,-2.99,-9.13,-12.12,1994
Iona,MAAC,-4.5,-0.31,-11.89,-12.2,1994
Oral Roberts,Ind,-1.81,-4.36,-8.0,-12.36,1994
Brown,Ivy,-5.75,-10.62,-1.83,-12.44,1994
Harvard,Ivy,-8.8,-9.15,-3.34,-12.48,1994
Maryland-Eastern Shore,MEAC,-11.31,-8.62,-4.05,-12.67,1994
Western Illinois,Mid-Cont,-2.59,-7.66,-5.04,-12.7,1994
Vermont,NAC,-6.1,-0.07,-12.67,-12.74,1994
Central Michigan,MAC,-0.46,-16.71,3.9,-12.82,1994
Youngstown State,Mid-Cont,-3.48,-7.71,-5.2,-12.91,1994
William & Mary,CAA,-2.53,-3.88,-9.09,-12.97,1994
Dartmouth,Ivy,-7.11,-10.86,-2.45,-13.31,1994
Maryland-Baltimore County,Big South,-5.6,-4.14,-9.2,-13.33,1994
Howard,MEAC,-9.32,-7.74,-5.7,-13.44,1994
Niagara,MAAC,-3.01,-10.76,-2.77,-13.53,1994
Yale,Ivy,-8.12,-12.22,-1.38,-13.6,1994
Buffalo,ECC,-7.68,-10.46,-3.44,-13.9,1994
Lafayette,Patriot,-8.02,-4.8,-9.3,-14.1,1994
Southeastern Louisiana,TAAC,-5.56,-5.51,-9.18,-14.68,1994
VMI,Southern,-2.96,-11.55,-3.18,-14.73,1994
Sam Houston State,Southland,-5.99,-11.91,-3.15,-15.07,1994
Cornell,Ivy,-4.77,-11.3,-3.89,-15.18,1994
Troy,ECC,-10.3,13.87,-29.3,-15.42,1994
Eastern Washington,Big Sky,0.4,-9.97,-5.63,-15.6,1994
Mercer,TAAC,-1.53,-10.13,-5.48,-15.6,1994
Lehigh,Patriot,-8.32,-2.31,-13.39,-15.7,1994
Tennessee-Martin,OVC,-3.37,-5.41,-10.84,-16.25,1994
Mississippi Valley State,SWAC,-8.79,-3.26,-13.16,-16.42,1994
Morgan State,MEAC,-8.39,-7.46,-9.11,-16.57,1994
Army,Patriot,-7.6,-2.72,-14.77,-17.49,1994
Bethune-Cookman,MEAC,-8.51,-7.15,-10.4,-17.55,1994
Hofstra,ECC,-8.69,-14.08,-3.57,-17.66,1994
UT Arlington,Southland,-3.89,-2.72,-15.73,-18.45,1994
Florida Atlantic,TAAC,-0.48,-5.47,-13.13,-18.6,1994
Columbia,Ivy,-7.29,-16.54,-2.59,-19.13,1994
Louisiana Tech,Sun Belt,-0.03,-14.6,-4.7,-19.29,1994
UNC Asheville,Big South,-5.47,-18.59,-1.14,-19.72,1994
Delaware State,MEAC,-8.67,-9.97,-10.02,-19.99,1994
Grambling,SWAC,-10.34,-4.58,-16.06,-20.65,1994
Winthrop,Big South,-5.08,-5.75,-15.85,-21.6,1994
Florida A&M,MEAC,-8.02,-15.48,-6.35,-21.83,1994
Chicago State,ECC,-3.27,1.49,-23.34,-21.85,1994
Sacramento State,Ind,-0.07,-14.33,-7.56,-21.88,1994
Long Island University,NEC,-5.62,-4.08,-17.95,-22.03,1994
St. Francis (NY),NEC,-7.66,-9.71,-12.81,-22.51,1994
Alcorn State,SWAC,-8.76,-7.37,-17.35,-24.72,1994
Central Connecticut State,ECC,-8.26,-7.79,-21.55,-29.34,1994
Prairie View,SWAC,-8.1,-9.53,-24.07,-33.6,1994
Kentucky,SEC (East),9.71,18.84,9.23,28.07,1995
UCLA,Pac-10,10.03,16.46,7.25,23.7,1995
North Carolina,ACC,13.14,17.28,6.3,23.58,1995
Massachusetts,A-10,8.07,12.67,10.52,23.19,1995
Maryland,ACC,10.44,17.47,5.22,22.69,1995
Kansas,Big 8,10.02,14.11,8.05,22.15,1995
Oklahoma State,Big 8,10.26,6.97,14.75,21.72,1995
Virginia,ACC,10.02,7.22,13.42,20.64,1995
Wake Forest,ACC,10.91,3.55,15.95,19.5,1995
Connecticut,Big East,7.65,15.98,3.25,19.23,1995
Arizona,Pac-10,10.35,14.42,4.67,19.09,1995
Cincinnati,GMWC,8.87,12.38,6.22,18.6,1995
Michigan State,Big Ten,7.92,9.29,8.2,17.49,1995
Saint Louis,GMWC,4.08,4.69,12.61,17.3,1995
Mississippi State,SEC (West),8.48,3.53,13.76,17.28,1995
Arkansas,SEC (West),10.51,17.91,-1.0,16.91,1995
Arizona State,Pac-10,9.0,7.49,9.21,16.7,1995
Iowa State,Big 8,9.7,5.34,11.23,16.57,1995
Villanova,Big East,8.3,8.34,8.05,16.39,1995
Duke,ACC,11.82,11.2,5.16,16.35,1995
Utah,WAC,4.85,7.23,9.06,16.29,1995
Iowa,Big Ten,6.54,14.08,1.83,15.91,1995
Texas,SWC,3.65,18.73,-3.01,15.72,1995
Alabama,SEC (West),6.62,1.36,14.14,15.5,1995
Florida,SEC (East),11.37,4.87,10.53,15.4,1995
Syracuse,Big East,7.46,11.42,3.94,15.36,1995
Oklahoma,Big 8,7.1,10.19,5.03,15.22,1995
Georgia Tech,ACC,9.15,11.1,3.91,15.01,1995
Indiana,Big Ten,9.03,6.63,8.2,14.83,1995
Oregon,Pac-10,10.64,15.28,-0.64,14.64,1995
Memphis,GMWC,5.81,8.46,5.94,14.4,1995
Georgia,SEC (East),6.04,7.27,7.02,14.29,1995
Minnesota,Big Ten,6.31,5.61,8.35,13.96,1995
DePaul,GMWC,6.18,9.12,4.7,13.82,1995
Virginia Tech,Metro,5.39,4.72,8.88,13.59,1995
Purdue,Big Ten,5.74,6.61,6.78,13.39,1995
Stanford,Pac-10,7.24,7.21,5.89,13.11,1995
Evansville,MVC,-0.22,3.43,9.65,13.08,1995
Florida State,ACC,12.54,8.26,4.8,13.05,1995
Washington State,Pac-10,8.59,10.98,2.08,13.05,1995
NC State,ACC,8.58,6.42,6.53,12.95,1995
Georgetown,Big East,6.53,3.87,8.88,12.76,1995
Tulsa,MVC,4.66,3.95,8.42,12.37,1995
Temple,A-10,9.26,-7.51,19.73,12.22,1995
Marquette,GMWC,5.79,1.22,10.76,11.98,1995
Illinois,Big Ten,7.71,2.97,9.01,11.97,1995
Missouri,Big 8,8.32,7.18,4.76,11.94,1995
Texas Tech,SWC,1.87,11.25,0.62,11.87,1995
Penn State,Big Ten,5.04,1.04,10.81,11.85,1995
Louisville,Metro,7.81,6.75,4.85,11.6,1995
Brigham Young,WAC,5.55,5.71,5.81,11.52,1995
Nebraska,Big 8,6.79,8.62,2.64,11.26,1995
Ohio,MAC,3.67,6.24,5.0,11.24,1995
Vanderbilt,SEC (East),8.41,4.33,6.65,10.98,1995
California,Pac-10,8.89,9.28,1.68,10.96,1995
Montana State,Big Sky,0.9,7.46,3.24,10.7,1995
Clemson,ACC,8.8,-6.03,16.43,10.4,1995
New Mexico State,Big West,3.58,13.09,-2.78,10.31,1995
Xavier,MW Coll,-0.83,9.96,0.22,10.17,1995
Miami (OH),MAC,0.86,-2.78,12.89,10.1,1995
Utah State,Big West,1.54,4.23,5.87,10.09,1995
Santa Clara,WCC,1.99,3.58,6.33,9.91,1995
Tulane,Metro,4.23,6.04,3.8,9.84,1995
Michigan,Big Ten,8.94,1.18,8.63,9.81,1995
Saint Joseph's,A-10,7.22,2.39,7.35,9.74,1995
St. Bonaventure,A-10,4.76,1.85,7.51,9.36,1995
Pennsylvania,Ivy,-5.39,8.37,0.95,9.33,1995
Charlotte,Metro,3.56,3.74,5.54,9.28,1995
Auburn,SEC (West),7.03,5.62,3.6,9.22,1995
Manhattan,MAAC,-3.91,0.59,8.53,9.12,1995
UTEP,WAC,5.85,5.91,3.05,8.96,1995
Providence,Big East,7.84,3.89,5.05,8.94,1995
Bradley,MVC,3.13,0.19,8.48,8.66,1995
Gonzaga,WCC,-0.21,3.36,5.21,8.57,1995
Seton Hall,Big East,4.37,7.92,0.52,8.44,1995
Colorado,Big 8,7.37,9.69,-1.29,8.4,1995
Weber State,Big Sky,3.42,4.4,3.95,8.35,1995
Wisconsin,Big Ten,6.97,3.37,4.93,8.3,1995
St. John's (NY),Big East,6.75,9.7,-1.41,8.29,1995
Southern Mississippi,Metro,5.88,3.0,5.23,8.23,1995
Southern Illinois,MVC,3.34,5.79,2.23,8.02,1995
South Florida,Metro,3.07,0.97,6.96,7.94,1995
Western Kentucky,Sun Belt,-2.43,6.03,1.77,7.8,1995
Hawaii,WAC,6.91,-0.5,8.27,7.76,1995
Montana,Big Sky,2.95,4.97,2.44,7.41,1995
George Washington,A-10,6.87,5.43,1.41,6.84,1995
Wyoming,WAC,6.77,-4.59,11.28,6.69,1995
Washington,Pac-10,10.3,-3.91,10.36,6.45,1995
Rutgers,A-10,4.92,3.54,2.74,6.28,1995
New Mexico,WAC,5.07,3.56,2.68,6.24,1995
Oregon State,Pac-10,10.43,5.73,0.29,6.03,1995
Louisiana State,SEC (West),7.48,8.42,-2.41,6.0,1995
Pittsburgh,Big East,8.9,1.17,4.66,5.82,1995
Drexel,NAC,-3.69,1.73,3.95,5.68,1995
Nevada,Big West,2.96,4.73,0.93,5.65,1995
Tennessee,SEC (East),8.67,-9.19,14.68,5.49,1995
Eastern Michigan,MAC,1.94,3.87,1.61,5.48,1995
Ball State,MAC,2.61,5.81,-0.45,5.36,1995
Cal State Long Beach,Big West,3.67,-1.13,6.42,5.29,1995
Green Bay,MW Coll,-1.35,-10.29,15.07,4.78,1995
Missouri State,MVC,0.14,-5.34,9.92,4.58,1995
West Virginia,A-10,6.58,6.48,-1.9,4.58,1995
Saint Mary's (CA),WCC,-0.09,-3.24,7.65,4.42,1995
Idaho State,Big Sky,0.02,5.65,-1.34,4.31,1995
Old Dominion,CAA,1.28,3.03,1.13,4.16,1995
Boise State,Big Sky,-0.64,-1.06,5.2,4.14,1995
Kansas State,Big 8,9.65,-1.36,5.48,4.13,1995
Illinois State,MVC,3.36,6.34,-2.3,4.04,1995
Southern California,Pac-10,8.49,5.77,-1.78,3.99,1995
Virginia Commonwealth,Metro,3.43,-1.69,5.36,3.68,1995
Pacific,Big West,2.44,-0.34,3.74,3.4,1995
UAB,GMWC,2.87,-2.55,5.9,3.35,1995
Colorado State,WAC,3.8,3.99,-0.65,3.34,1995
Portland,WCC,-1.44,2.47,0.84,3.31,1995
South Carolina,SEC (East),8.51,-0.73,3.76,3.03,1995
Nicholls State,Southland,-5.5,10.71,-7.72,3.0,1995
College of Charleston,TAAC,-5.01,-5.44,8.43,2.99,1995
UNC Greensboro,Big South,-8.45,-0.81,3.77,2.96,1995
Toledo,MAC,0.37,0.12,2.73,2.85,1995
Bowling Green State,MAC,0.95,-1.71,4.54,2.83,1995
Notre Dame,Ind,2.17,-2.98,5.78,2.8,1995
Canisius,MAAC,1.07,-2.3,4.93,2.64,1995
Miami (FL),Big East,4.45,-6.02,8.43,2.41,1995
Fresno State,WAC,3.55,0.75,1.54,2.29,1995
Mississippi,SEC (West),5.66,-0.52,2.69,2.17,1995
UC Santa Barbara,Big West,0.58,-1.54,3.38,1.84,1995
Illinois-Chicago,MW Coll,-3.16,9.38,-7.69,1.69,1995
Rhode Island,A-10,6.58,1.05,0.46,1.5,1995
Boston College,Big East,5.72,0.72,0.64,1.36,1995
Western Michigan,MAC,0.94,-3.39,4.59,1.2,1995
Duquesne,A-10,5.87,-0.98,1.85,0.87,1995
TCU,SWC,-1.23,17.72,-16.91,0.81,1995
Nevada-Las Vegas,Big West,2.63,4.28,-3.51,0.77,1995
Rice,SWC,1.46,-3.89,4.62,0.73,1995
New Orleans,Sun Belt,-2.62,-2.75,3.44,0.68,1995
Texas Southern,SWAC,-8.1,0.74,-0.1,0.64,1995
UC Irvine,Big West,3.12,4.52,-4.06,0.46,1995
Northern Illinois,MW Coll,-5.13,-2.13,2.35,0.23,1995
Southern Utah,AWC,-7.99,2.42,-2.2,0.22,1995
James Madison,CAA,-3.58,2.83,-2.65,0.18,1995
