2011-2012 RPI,,,,,,,,,,,,
,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,
,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,
,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,
74,Montana,23-6,0.5609,21,5.2,0.8015,0.4829 (191),0.4762,203,0.4807,,
75,Mississippi St,21-11,0.5601,16.2,9.8,0.6231,0.5375 (91),0.5421,79,0.5391,,
76,Arizona,23-11,0.5582,20.2,10.2,0.6645,0.5219 (122),0.5246,113,0.5228,,
77,Massachusetts,22-11,0.5577,17.6,8.6,0.6718,0.5152 (131),0.5288,117,0.5197,,
78,Loyola (Maryland),24-8,0.5571,24.4,6.4,0.7922,0.4750 (215),0.4863,211,0.4788,,
79,Buffalo,18-10,0.5569,16.4,8,0.6721,0.5278 (112),0.4998,120,0.5184,,
80,Long Island,25-8,0.5553,22.2,4.8,0.8222,0.4639 (239),0.4714,246,0.4664,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
81,Dayton,20-12,0.5546,15.6,10.8,0.5909,0.5451 (75),0.5375,68,0.5425,,
82,George Mason,24-9,0.5543,20.8,7,0.7482,0.4869 (186),0.495,185,0.4896,,
83,Wyoming,18-11,0.5535,14.8,9,0.6218,0.5354 (98),0.5214,96,0.5307,,
84,LSU,18-14,0.553,15.2,12.4,0.5507,0.5615 (55),0.5384,53,0.5538,,
85,Cleveland St,21-10,0.553,21.8,10,0.6855,0.5135 (134),0.4994,138,0.5088,,
86,La Salle,21-12,0.5521,17.8,9.6,0.6496,0.5191 (124),0.5205,118,0.5196,,
87,Tennessee,17-14,0.5521,12.6,12,0.5122,0.5706 (40),0.5549,35,0.5654,,
88,Princeton,17-11,0.5518,16.6,8.6,0.6587,0.5252 (116),0.4979,126,0.5161,,
89,Bucknell,23-9,0.5487,21.8,7.8,0.7365,0.4867 (187),0.4848,190,0.4861,,
90,Minnesota,19-14,0.5486,15,14,0.5172,0.5630 (51),0.5512,44,0.5591,,
,,,,,,,,,,,,
,,,,,,,,,,,,
91,Lehigh,25-7,0.5472,25.4,5,0.8355,0.4355 (297),0.4821,291,0.4511,,
92,Wagner,25-6,0.5465,25,6,0.8065,0.4499 (271),0.4799,268,0.4599,,
93,Denver,22-9,0.5452,19.2,7.4,0.7218,0.4806 (196),0.4978,189,0.4863,,
94,Illinois,17-15,0.5449,12.6,13.8,0.4773,0.5764 (33),0.5495,32,0.5674,,
95,Valparaiso,20-11,0.5447,18.4,9,0.6715,0.5019 (157),0.5033,147,0.5024,,
96,Pittsburgh,17-16,0.5434,14.2,15.6,0.4765,0.5763 (34),0.5445,33,0.5657,,
97,Stanford,21-11,0.5428,17.4,9.8,0.6397,0.5033 (152),0.5248,134,0.5105,,
98,Pennsylvania,19-12,0.5427,17.8,12,0.5973,0.5361 (95),0.5014,105,0.5245,,
99,Robert Morris,24-10,0.5393,24.4,8.4,0.7439,0.4654 (233),0.4825,228,0.4711,,
100,Illinois St,20-13,0.5389,15.6,11,0.5865,0.5242 (118),0.5207,111,0.523,,
,,,,,,,,,,,,
,,,,,,,,,,,,
101,Georgia,15-17,0.5389,11.4,15.8,0.4191,0.5963 (14),0.5437,15,0.5788,,
102,Yale,17-9,0.5385,16.2,6.2,0.7232,0.4686 (227),0.4938,218,0.477,,
103,Old Dominion,20-13,0.5385,19.2,13.8,0.5818,0.5342 (101),0.5037,108,0.524,,
104,UNC Asheville,21-9,0.5382,19.4,7.8,0.7132,0.4828 (192),0.4741,206,0.4799,,
105,Maryland,17-15,0.5361,12.2,13.4,0.4766,0.5613 (56),0.5451,48,0.5559,,
106,Kent St,20-11,0.5359,18.4,9.8,0.6525,0.4968 (167),0.4974,163,0.497,,
107,Tennessee St,18-12,0.5358,17.2,9.6,0.6418,0.5082 (141),0.4852,152,0.5005,,
108,Lamar,21-11,0.5356,20.2,8.2,0.7113,0.4775 (207),0.4763,216,0.4771,,
109,Duquesne,15-15,0.5354,12.6,13.4,0.4846,0.5657 (48),0.5253,57,0.5523,,
110,UT Arlington,23-8,0.5351,22.2,6,0.7872,0.4409 (290),0.4715,290,0.4511,,
,,,,,,,,,,,,
,,,,,,,,,,,,
111,UAB,15-16,0.535,14.2,15.6,0.4765,0.5703 (41),0.5231,50,0.5545,,
112,Butler,19-14,0.5338,17,12.4,0.5782,0.5290 (108),0.499,119,0.519,,
113,TCU,16-14,0.5334,12.4,12,0.5082,0.5461 (72),0.533,70,0.5417,,
114,Arkansas,18-14,0.5332,11.6,12,0.4915,0.5585 (63),0.5244,60,0.5471,,
115,Fairfield,19-14,0.5328,17.4,12,0.5918,0.5233 (120),0.4926,131,0.5131,,
116,Virginia Tech,16-17,0.5318,12.8,16.6,0.4354,0.5759 (35),0.5403,37,0.564,,
117,Loyola Marymount,17-12,0.5293,17.4,14,0.5541,0.5282 (110),0.5069,115,0.5211,,
118,UC Santa Barbara,18-10,0.5286,17.2,8.8,0.6615,0.4844 (190),0.4842,195,0.4843,,
119,Tulsa,17-14,0.5283,15.4,13.6,0.531,0.5305 (106),0.5213,99,0.5274,,
120,Villanova,13-19,0.5282,10.2,17.8,0.3643,0.6016 (11),0.5453,12,0.5828,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
121,Oklahoma St,14-18,0.527,10.8,16,0.403,0.5783 (29),0.5486,29,0.5684,,
122,Coll of Charleston,19-12,0.5268,17.8,11.2,0.6138,0.5070 (145),0.4795,159,0.4978,,
123,Missouri St,15-16,0.5256,15.4,16.4,0.4843,0.5454 (74),0.5274,77,0.5394,,
124,UW Milwaukee,18-13,0.5251,16.4,10.6,0.6074,0.4924 (179),0.5083,160,0.4977,,
125,Detroit,20-13,0.524,18,11.4,0.6122,0.4895 (184),0.5048,173,0.4946,,
126,Richmond,16-16,0.5237,13.2,13.2,0.5,0.5381 (90),0.5186,94,0.5316,,
127,UCLA,18-14,0.5236,13.6,12.8,0.5152,0.5271 (113),0.5252,104,0.5265,,
128,Norfolk St,24-8,0.5225,24.4,7.6,0.7625,0.4344 (300),0.4587,308,0.4425,,
129,Indiana St,17-14,0.5214,14.6,11.6,0.5573,0.4997 (161),0.529,137,0.5095,,
130,Iowa,17-16,0.5208,13,15.2,0.461,0.5373 (92),0.5476,73,0.5407,,
,,,,,,,,,,,,
,,,,,,,,,,,,
131,Evansville,15-15,0.5205,12.6,14.2,0.4701,0.5421 (81),0.5278,84,0.5373,,
132,Oregon St,18-14,0.5198,15.2,13.2,0.5352,0.5118 (137),0.5206,130,0.5147,,
133,Mercer,21-11,0.5192,19.8,9,0.6875,0.4500 (270),0.4892,261,0.4631,,
134,Drake,16-15,0.5185,12.8,12.6,0.5039,0.5218 (123),0.5265,110,0.5234,,
135,Vermont,23-11,0.5183,23.4,10.2,0.6964,0.4597 (248),0.4573,271,0.4589,,
136,San Francisco,18-13,0.5177,16,12.2,0.5674,0.4986 (163),0.5064,149,0.5012,,
137,Tennessee Tech,17-13,0.5165,17,12.2,0.5822,0.5006 (158),0.4828,172,0.4947,,
138,Oklahoma,15-16,0.5151,11,14.8,0.4264,0.5501 (68),0.5341,64,0.5447,,
139,SC Upstate,18-12,0.5144,16.8,8.8,0.6563,0.4581 (252),0.485,244,0.4671,,
140,Georgia St,21-11,0.5137,19.4,10.2,0.6554,0.4550 (260),0.4893,245,0.4664,,
,,,,,,,,,,,,
,,,,,,,,,,,,
141,American,20-11,0.513,17.6,7.4,0.704,0.4342 (302),0.4795,293,0.4493,,
142,Oakland,16-15,0.513,16,14.2,0.5298,0.5154 (128),0.4913,139,0.5074,,
143,Utah St,16-15,0.5125,12.8,12.6,0.5039,0.5281 (111),0.49,128,0.5154,,
144,Miss Valley St,21-12,0.5124,20.6,7.6,0.7305,0.4287 (310),0.4619,311,0.4398,,
145,Auburn,15-16,0.5123,9.8,13.2,0.4261,0.5433 (77),0.5363,71,0.541,,
146,Idaho,16-13,0.5116,15.2,11.8,0.563,0.4947 (172),0.4942,175,0.4945,,
147,UTEP,15-17,0.5115,11,14.6,0.4297,0.5523 (65),0.5119,80,0.5388,,
148,UW Green Bay,13-15,0.5103,10.2,10.6,0.4904,0.5245 (117),0.5017,122,0.5169,,
149,Manhattan,20-12,0.5101,20,10.8,0.6494,0.4469 (277),0.4971,258,0.4637,,
150,Western Illinois,14-14,0.5091,13.2,12,0.5238,0.5154 (129),0.4817,145,0.5041,,
,,,,,,,,,,,,
,,,,,,,,,,,,
151,Clemson,16-15,0.5089,13.2,13.8,0.4889,0.5078 (142),0.531,127,0.5156,,
152,Stony Brook,21-9,0.5086,19,6.6,0.7422,0.4163 (322),0.4599,324,0.4308,,
153,Delaware,18-13,0.5079,16,10.6,0.6015,0.4641 (237),0.5019,220,0.4767,,
154,Nebraska,18-Dec,0.5065,9.6,17.6,0.3529,0.5607 (58),0.5515,46,0.5577,,
155,Quinnipiac,18-13,0.505,18,11.4,0.6122,0.4712 (221),0.4654,233,0.4693,,
156,Providence,15-17,0.5045,12.2,16.2,0.4296,0.5232 (121),0.5421,97,0.5295,,
157,CS Fullerton,19-9,0.5045,17.4,7,0.7131,0.4187 (319),0.4676,316,0.435,,
158,Bowling Green,15-15,0.504,12.2,12.2,0.5,0.5039 (149),0.5083,143,0.5054,,
159,St. John's,13-19,0.5036,9.4,18.6,0.3357,0.5674 (46),0.5437,42,0.5595,,
160,Louisiana Tech,16-16,0.5031,14,13.6,0.5072,0.5050 (148),0.4951,148,0.5017,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
161,Penn State,20-Dec,0.5025,8.4,18.4,0.3134,0.5707 (39),0.5553,34,0.5656,,
162,Charleston Southern,16-12,0.5023,14.8,8.8,0.6271,0.4576 (255),0.4672,267,0.4608,,
163,Rutgers,14-18,0.5019,10.4,17.6,0.3714,0.5476 (71),0.5408,62,0.5453,,
164,East Carolina,16-Nov,0.5011,9.8,15.6,0.3858,0.5494 (69),0.52,75,0.5396,,
165,Texas A&M,13-18,0.4986,9.8,17.6,0.3577,0.5501 (67),0.5364,61,0.5455,,
166,Morehead St,15-15,0.4983,14.6,13,0.529,0.4902 (182),0.4837,187,0.488,,
167,Charlotte,13-17,0.4972,12.6,15.8,0.4437,0.5107 (138),0.5236,129,0.515,,
168,Air Force,16-Nov,0.4962,8.6,16,0.3496,0.5594 (61),0.5167,63,0.5451,,
169,South Alabama,16-12,0.4958,15.2,11.6,0.5672,0.4601 (246),0.496,226,0.4721,,
170,Youngstown St,14-15,0.4948,13.2,12.6,0.5116,0.4846 (189),0.4984,186,0.4892,,
,,,,,,,,,,,,
,,,,,,,,,,,,
171,Rice,14-15,0.4945,13.2,15,0.4681,0.4960 (168),0.5178,146,0.5032,,
172,Northeastern,14-17,0.4928,13.6,14.6,0.4823,0.4932 (176),0.5023,167,0.4962,,
173,Boise St,17-Dec,0.4924,8.4,14.6,0.3652,0.5348 (100),0.5346,87,0.5347,,
174,McNeese St,14-15,0.492,14,12.6,0.5263,0.4882 (185),0.4653,205,0.4806,,
175,UA Little Rock,14-16,0.4916,13.2,15.2,0.4648,0.5024 (154),0.4968,151,0.5006,,
176,Holy Cross,15-14,0.4912,12.6,10.8,0.5385,0.4752 (213),0.4761,221,0.4755,,
177,Wofford,17-13,0.4911,16.2,10.2,0.6136,0.4336 (304),0.4838,292,0.4503,,
178,East Tenn St,16-14,0.4911,14.8,11.2,0.5692,0.4554 (258),0.4843,251,0.465,,
179,North Florida,15-16,0.4906,13,12.4,0.5118,0.4805 (197),0.4894,196,0.4835,,
180,Cornell,16-Nov,0.49,8.2,12,0.4059,0.5330 (103),0.4878,121,0.518,,
,,,,,,,,,,,,
,,,,,,,,,,,,
181,Coastal Carolina,15-11,0.4895,14.6,10.2,0.5887,0.4527 (264),0.4638,277,0.4564,,
182,Wake Forest,13-18,0.4895,10.6,17.6,0.3759,0.5237 (119),0.5344,100,0.5273,,
183,North Dakota St,15-13,0.4884,13.8,11.4,0.5476,0.4577 (254),0.4906,237,0.4687,,
184,Washington St,14-16,0.4882,12,14.4,0.4545,0.4925 (178),0.5131,157,0.4994,,
185,UL Lafayette,15-15,0.4881,13.4,13,0.5076,0.4804 (198),0.4839,199,0.4816,,
186,Columbia,13-15,0.488,12.2,13.8,0.4692,0.4984 (164),0.486,176,0.4943,,
187,Portland St,15-15,0.4877,13.8,11.8,0.5391,0.4734 (218),0.4649,229,0.4706,,
188,George Washington,21-Oct,0.4876,8.4,19.4,0.3022,0.5626 (52),0.5229,59,0.5494,,
189,Western Kentucky,15-18,0.4864,13,17.6,0.4248,0.5130 (135),0.4947,140,0.5069,,
190,Boston U,16-16,0.4856,16.4,14,0.5395,0.4674 (230),0.4682,241,0.4676,,
,,,,,,,,,,,,
,,,,,,,,,,,,
191,Savannah St,19-11,0.4845,16.6,7.8,0.6803,0.3956 (339),0.4666,336,0.4193,,
192,Austin Peay,20-Nov,0.484,9.8,17.2,0.363,0.5418 (82),0.4892,106,0.5243,,
193,San Diego,18-Nov,0.4837,10.6,18,0.3706,0.5339 (102),0.4963,114,0.5214,,
194,South Carolina,21-Oct,0.4817,6.8,21,0.2446,0.5737 (37),0.5347,40,0.5607,,
195,Lafayette,13-18,0.481,13.4,16.4,0.4497,0.4993 (162),0.4756,179,0.4914,,
196,UT San Antonio,16-14,0.4808,16.8,12.8,0.5676,0.4418 (289),0.472,287,0.4518,,
197,Georgia Tech,20-Nov,0.4806,9.4,20,0.3197,0.5360 (96),0.5309,88,0.5343,,
198,DePaul,19-Dec,0.4801,10.4,19.4,0.349,0.5152 (130),0.541,109,0.5238,,
199,North Texas,15-14,0.4793,13.8,12.4,0.5267,0.4482 (276),0.494,259,0.4635,,
200,Rider,13-19,0.4782,11.8,17,0.4097,0.5092 (140),0.4848,150,0.5011,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
201,Niagara,14-19,0.478,13.2,17.8,0.4258,0.5038 (150),0.4785,169,0.4954,,
202,Stephen F. Austin,16-12,0.4773,15.6,10.8,0.5909,0.4258 (314),0.4667,312,0.4394,,
203,Georgia So,13-15,0.4763,11.4,11,0.5089,0.4593 (249),0.4778,249,0.4655,,
204,Hawai'i,14-16,0.4762,11.6,16,0.4203,0.4936 (175),0.4976,170,0.4949,,
205,Western Michigan,13-20,0.4749,9.8,16,0.3798,0.5148 (133),0.4901,141,0.5065,,
206,Campbell,16-15,0.4746,14.4,11,0.5669,0.4300 (308),0.4715,307,0.4438,,
207,Florida Atlantic,19-Oct,0.4744,9.6,16.6,0.3664,0.5161 (127),0.4991,135,0.5104,,
208,Florida Gulf Coast,14-17,0.4744,12.8,14.6,0.4672,0.4764 (211),0.4775,219,0.4768,,
209,Eastern Washington,13-17,0.4736,12.6,13.4,0.4846,0.4683 (228),0.473,231,0.4699,,
210,IUPUI,18-Dec,0.4714,9.6,15.2,0.3871,0.5076 (143),0.4834,156,0.4995,,
,,,,,,,,,,,,
,,,,,,,,,,,,
211,St. Francis (NY),15-15,0.4713,14.6,13,0.529,0.4442 (284),0.4677,286,0.452,,
212,CS Bakersfield,13-14,0.4703,11.8,10.8,0.5221,0.4448 (281),0.4694,282,0.453,,
213,UNC Wilmington,21-Oct,0.4702,9.6,19.4,0.331,0.5292 (107),0.4915,125,0.5166,,
214,Albany,19-14,0.4701,17.4,11.2,0.6084,0.4060 (332),0.46,331,0.424,,
215,Houston,14-15,0.47,10,13.8,0.4202,0.4751 (214),0.5098,188,0.4867,,
216,Northwestern St,13-16,0.4697,11.8,12.8,0.4797,0.4635 (241),0.4721,247,0.4663,,
217,Siena,14-17,0.4694,11.2,14.6,0.4341,0.4778 (205),0.4881,201,0.4812,,
218,Cal Poly,16-15,0.4694,14.8,12.6,0.5401,0.4323 (306),0.4727,300,0.4458,,
219,SMU,19-Nov,0.4692,9.4,17.8,0.3456,0.5065 (146),0.5182,136,0.5104,,
220,Jacksonville St,13-17,0.4677,11.4,14.6,0.4385,0.4774 (208),0.4773,215,0.4774,,
,,,,,,,,,,,,
,,,,,,,,,,,,
221,Western Carolina,15-18,0.4676,13.8,14.8,0.4825,0.4515 (267),0.4851,264,0.4627,,
222,Arkansas St,13-20,0.4668,10.2,16.4,0.3835,0.4972 (166),0.4895,174,0.4946,,
223,Marist,14-18,0.4666,10.8,14.8,0.4219,0.4801 (199),0.4843,200,0.4815,,
224,Wright St,19-Dec,0.4661,10.4,17.4,0.3741,0.4930 (177),0.5043,164,0.4968,,
225,Lipscomb,18-Dec,0.4661,12,16.4,0.4225,0.4779 (204),0.4861,204,0.4806,,
226,Eastern Kentucky,14-16,0.4655,12,12.8,0.4839,0.4540 (262),0.4703,270,0.4594,,
227,Central Connecticut,13-16,0.4635,10.2,12.4,0.4513,0.4641 (236),0.4743,243,0.4675,,
228,Elon,13-16,0.4634,11.4,13.2,0.4634,0.4493 (274),0.4917,260,0.4635,,
229,Fresno St,20-Nov,0.4633,9.4,17.2,0.3534,0.4999 (160),0.5001,153,0.5,,
230,Utah Valley,16-12,0.463,14,9.2,0.6034,0.3950 (340),0.4583,339,0.4161,,
,,,,,,,,,,,,
,,,,,,,,,,,,
231,Southern Utah,17-Dec,0.4601,11.6,15.4,0.4296,0.4634 (242),0.4841,230,0.4703,,
232,NCCU,13-15,0.46,13.8,11.8,0.5391,0.4229 (315),0.4553,320,0.4337,,
233,Texas Southern,15-18,0.4599,13,12,0.52,0.4342 (303),0.4512,310,0.4398,,
234,Furman,13-16,0.4594,12.2,14,0.4656,0.4462 (278),0.4794,273,0.4573,,
235,UNC Greensboro,19-Dec,0.4593,11.2,16.6,0.4029,0.4693 (225),0.4958,213,0.4781,,
236,Monmouth,20-Dec,0.4593,11.2,17.2,0.3944,0.4777 (206),0.4873,202,0.4809,,
237,Sacred Heart,14-18,0.4587,13.2,16,0.4521,0.4562 (256),0.4706,266,0.461,,
238,Portland,24-Jun,0.4585,5.6,22,0.2029,0.5591 (62),0.5129,67,0.5437,,
239,Bethune Cookman,16-17,0.4583,15.2,13.4,0.5315,0.4225 (317),0.4567,319,0.4339,,
240,Fordham,19-Oct,0.4579,6.8,16.2,0.2957,0.5119 (136),0.5121,133,0.512,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
241,Texas Tech,23-Aug,0.4565,5.6,21.8,0.2044,0.5451 (76),0.5314,74,0.5405,,
242,North Dakota,13-14,0.4562,10.2,9.2,0.5258,0.4184 (320),0.4623,322,0.433,,
243,Eastern Michigan,13-18,0.4554,11.8,14.4,0.4504,0.4374 (294),0.4964,275,0.4571,,
244,Boston College,22-Sep,0.4553,5.8,22,0.2086,0.5414 (83),0.5297,83,0.5375,,
245,Presbyterian,13-15,0.455,13.4,15.4,0.4653,0.4443 (283),0.4663,288,0.4516,,
246,Toledo,16-16,0.4547,14.4,16,0.4737,0.4335 (305),0.4782,295,0.4484,,
