2009-2010 RPI,,,,,,,,,,,,
,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,
,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,
,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,
23,BYU,28-5,0.6125,26.4,3.8,0.8742,0.5198 (125),0.5361,116,0.5252,14,15
24,Maryland,22-8,0.6118,18.8,7.2,0.7231,0.5900 (21),0.544,23,0.5747,22,23
25,Richmond,26-8,0.6111,23.2,6,0.7945,0.5593 (63),0.5314,59,0.55,,
26,Vanderbilt,23-8,0.6103,20.2,7.6,0.7266,0.5817 (27),0.5512,25,0.5715,13,19
27,Old Dominion,26-8,0.605,23.2,5.6,0.8056,0.5501 (74),0.5143,89,0.5381,,
28,Michigan St,24-8,0.6027,21.2,7.2,0.7465,0.5628 (51),0.5388,51,0.5548,11,12
29,Texas,24-9,0.6025,20,7.4,0.7299,0.5599 (60),0.5603,44,0.56,,25
30,Utah St,26-7,0.6022,22.8,5.4,0.8085,0.5446 (91),0.5111,100,0.5334,,
,,,,,,,,,,,,
,,,,,,,,,,,,
31,Siena,27-6,0.6022,23.8,4,0.8561,0.5209 (124),0.5108,123,0.5175,,
32,Oklahoma St,22-10,0.602,17.2,7.6,0.6935,0.5846 (24),0.5453,26,0.5715,,
33,Georgia Tech,21-12,0.5988,17,9.6,0.6391,0.6063 (9),0.5435,13,0.5854,,
34,Clemson,21-10,0.5984,17.4,8.4,0.6744,0.5880 (22),0.5432,24,0.573,,
35,St. Mary's,25-5,0.5968,23.4,5,0.8239,0.5241 (122),0.5149,120,0.521,,
36,Gonzaga,25-6,0.5963,22.6,5.2,0.8129,0.5254 (117),0.5215,118,0.5241,18,14
37,Louisville,20-12,0.5949,15.6,10.8,0.5909,0.6182 (6),0.5523,7,0.5962,,
38,UTEP,26-6,0.5944,23.2,6,0.7945,0.5326 (111),0.518,111,0.5278,24,21
39,Wake Forest,19-10,0.5939,16.2,8,0.6694,0.5817 (28),0.5426,30,0.5687,,
40,Rhode Island,23-9,0.5928,21,7.4,0.7394,0.5500 (75),0.5318,72,0.5439,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
41,Washington,24-9,0.5915,18.8,7.4,0.7176,0.5530 (71),0.5424,60,0.5494,,
42,Florida St,22-9,0.5903,19.2,8.2,0.7007,0.5607 (56),0.539,54,0.5535,,
43,Wichita St,24-9,0.5877,19.6,6.2,0.7597,0.5342 (110),0.5228,105,0.5304,,
44,Missouri,22-10,0.5859,17.2,8.4,0.6719,0.5616 (53),0.5487,47,0.5573,,
45,UAB,23-8,0.5851,21.8,7.6,0.7415,0.5403 (99),0.5182,101,0.5329,,
46,Cornell,25-4,0.5844,26.6,3.2,0.8926,0.4774 (209),0.4903,205,0.4817,,
47,Kent St,22-9,0.5843,20.8,7.8,0.7273,0.5510 (72),0.5079,94,0.5367,,
48,UNLV,24-8,0.5838,22,8.4,0.7237,0.5350 (107),0.5416,91,0.5372,,
49,Notre Dame,23-11,0.5838,17.4,9.8,0.6397,0.5719 (37),0.5517,35,0.5652,,
50,Marquette,22-11,0.5825,19.2,10.6,0.6443,0.5659 (45),0.5538,40,0.5618,,
,,,,,,,,,,,,
,,,,,,,,,,,,
51,New Mexico St,21-11,0.5798,19.8,9,0.6875,0.5601 (59),0.5114,73,0.5439,,
52,Oakland,24-8,0.5791,23.6,5.6,0.8082,0.5134 (136),0.4815,156,0.5027,,
53,Memphis,23-9,0.5779,19.4,8.6,0.6929,0.5532 (70),0.5124,85,0.5396,,
54,Dayton,20-12,0.5769,15.6,10,0.6094,0.5820 (26),0.5341,33,0.5661,,
55,Mississippi St,23-11,0.5759,20.2,9.8,0.6733,0.5463 (87),0.5376,74,0.5434,,
56,Florida,21-12,0.5749,17.8,11.6,0.6054,0.5757 (35),0.5429,36,0.5648,,
57,Murray St,28-4,0.5749,27.2,2.4,0.9189,0.4493 (275),0.4821,263,0.4603,,
58,William & Mary,21-10,0.5733,21.4,8.8,0.7086,0.5359 (105),0.5126,110,0.5282,,
59,Virginia Tech,23-8,0.5732,19.4,6.4,0.7519,0.5007 (162),0.5392,133,0.5136,,
60,Seton Hall,19-12,0.5724,15.8,11.2,0.5852,0.5787 (31),0.5472,32,0.5682,,
,,,,,,,,,,,,
,,,,,,,,,,,,
61,Mississippi,21-10,0.5712,18.6,10,0.6503,0.5469 (84),0.5406,71,0.5448,,
62,Minnesota,21-13,0.5711,16.6,11.4,0.5929,0.5800 (30),0.5316,37,0.5638,,
63,Arizona St,22-10,0.5701,17.6,9.2,0.6567,0.5449 (89),0.534,80,0.5412,,
64,Connecticut,17-15,0.57,12.2,13,0.4841,0.6184 (5),0.5593,4,0.5987,,
65,Cincinnati,18-15,0.5698,14,13,0.5185,0.6020 (12),0.5567,9,0.5869,,
66,VCU,22-9,0.5671,18,6.6,0.7317,0.5115 (142),0.5136,136,0.5122,,
67,Marshall,20-9,0.5659,18.8,8.6,0.6861,0.5307 (112),0.5159,114,0.5258,,
68,Tulsa,22-11,0.5652,18,9.4,0.6569,0.5440 (93),0.5158,99,0.5346,,
69,Wofford,25-8,0.5635,25,6,0.8065,0.4731 (211),0.5015,203,0.4826,,
70,Sam Houston,21-7,0.5629,20.2,5,0.8016,0.4884 (186),0.473,199,0.4833,,
,,,,,,,,,,,,
,,,,,,,,,,,,
71,South Florida,20-12,0.5626,17.2,11.2,0.6056,0.5414 (97),0.5621,62,0.5483,,
72,Texas Tech,17-15,0.5622,13,13.4,0.4924,0.6051 (10),0.5463,12,0.5855,,
73,Nevada,19-12,0.5618,15,9.2,0.6198,0.5550 (67),0.5175,75,0.5425,,
74,Illinois,19-14,0.5596,16.6,14,0.5425,0.5758 (34),0.544,34,0.5652,,
75,Northeastern,20-12,0.5595,19.6,11.6,0.6282,0.5473 (82),0.5154,95,0.5366,,
76,Illinois St,22-10,0.5586,18.4,8,0.697,0.5104 (148),0.5167,135,0.5125,,
77,Charlotte,19-12,0.5548,17.8,11.2,0.6138,0.5358 (106),0.5337,98,0.5351,,
78,Louisiana Tech,23-10,0.5547,22.2,8,0.7351,0.4858 (190),0.5123,170,0.4946,,
79,Portland,19-10,0.5541,16.6,8.4,0.664,0.5181 (128),0.5161,124,0.5174,,
80,Wright St,20-12,0.5539,17.2,8,0.6825,0.5135 (134),0.5059,141,0.511,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
81,Fairfield,22-10,0.553,20.4,7.6,0.7286,0.4984 (167),0.4868,171,0.4945,,
82,St. John's,17-15,0.5515,14.2,15.4,0.4797,0.5832 (25),0.5599,21,0.5755,,
83,IUPUI,22-10,0.5499,22,8.4,0.7237,0.4927 (177),0.4904,179,0.4919,,
84,Morehead St,21-10,0.5488,19,8.4,0.6934,0.5111 (144),0.4796,160,0.5006,,
85,Weber St,18-10,0.5475,15.6,7.6,0.6724,0.5168 (130),0.484,151,0.5058,,
86,Iona,21-10,0.5471,20.2,9.6,0.6779,0.5036 (158),0.5034,155,0.5035,,
87,Saint Louis,19-11,0.5471,15.4,10.2,0.6016,0.5289 (113),0.529,107,0.5289,,
88,Indiana St,16-14,0.5466,14,11.6,0.5469,0.5633 (50),0.5129,68,0.5465,,
89,Akron,23-10,0.5457,21,10,0.6774,0.4970 (168),0.5115,158,0.5018,,
90,Missouri St,20-12,0.5449,15.6,9.2,0.629,0.5136 (133),0.5233,126,0.5169,,
,,,,,,,,,,,,
,,,,,,,,,,,,
91,Coll of Charleston,21-11,0.5443,19,8.2,0.6985,0.4946 (173),0.4896,175,0.4929,,
92,North Carolina,16-16,0.544,11.6,14.8,0.4394,0.5957 (16),0.5455,17,0.5789,,
93,South Carolina,15-16,0.5424,11.4,14.4,0.4419,0.5929 (19),0.5421,20,0.5759,,
94,UC Santa Barbara,19-9,0.542,17.4,7,0.7131,0.4836 (196),0.4879,194,0.485,,
95,Ohio,20-14,0.542,17.2,12,0.589,0.5366 (104),0.5059,113,0.5264,,
96,Arizona,16-15,0.5414,13.2,14.2,0.4818,0.5714 (39),0.5411,41,0.5613,,
97,Montana,20-9,0.5411,18,7,0.72,0.4825 (201),0.4795,206,0.4815,,
98,North Carolina St,19-15,0.541,16.6,15,0.5253,0.5482 (79),0.5424,69,0.5462,,
99,Miami (FL),19-13,0.5402,15.4,11.4,0.5746,0.5288 (114),0.5286,108,0.5287,,
100,Harvard,20-7,0.5381,20,5.8,0.7752,0.4458 (279),0.4857,265,0.4591,,
,,,,,,,,,,,,
,,,,,,,,,,,,
101,Appalachian St,20-11,0.538,18.4,8.6,0.6815,0.4888 (183),0.4928,183,0.4901,,
102,Alabama,17-15,0.5379,13.8,15,0.4792,0.5637 (49),0.545,46,0.5575,,
103,Morgan St,27-9,0.5378,27.4,6.6,0.8059,0.4427 (286),0.46,292,0.4484,,
104,North Texas,22-8,0.5362,21.6,6.4,0.7714,0.4504 (272),0.4725,270,0.4578,,
105,Bradley,16-15,0.5347,13.6,13.8,0.4964,0.5603 (58),0.5218,64,0.5475,,
106,Georgia,14-17,0.5344,9.2,13.8,0.4,0.5941 (17),0.5493,16,0.5792,,
107,UW Green Bay,19-12,0.5312,18.2,11.2,0.619,0.5012 (160),0.5034,157,0.5019,,
108,Buffalo,17-12,0.5307,17,11.2,0.6028,0.5119 (140),0.4959,150,0.5066,,
109,Troy,17-12,0.5303,16.2,9.2,0.6378,0.4986 (166),0.4863,172,0.4945,,
110,Houston,18-15,0.5298,15.2,13.4,0.5315,0.5346 (109),0.5186,106,0.5292,,
,,,,,,,,,,,,
,,,,,,,,,,,,
111,Long Beach,15-16,0.5292,15,13.2,0.5319,0.5444 (92),0.4959,109,0.5282,,
112,Southern California,16-14,0.5289,12.4,12.4,0.5,0.5394 (100),0.5365,88,0.5385,,
113,Southern Miss,16-13,0.5278,15.6,11.4,0.5778,0.5134 (135),0.5065,140,0.5111,,
114,Duquesne,15-15,0.5274,11.8,12.2,0.4917,0.5464 (86),0.525,86,0.5393,,
115,Creighton,16-15,0.5271,12,12.2,0.4959,0.5467 (85),0.5192,90,0.5375,,
116,Northwestern,20-13,0.5268,14.8,11.4,0.5649,0.5051 (156),0.5321,132,0.5141,,
117,Northern Colorado,23-7,0.5257,22.2,5.8,0.7929,0.4097 (328),0.4906,316,0.4367,,
118,Vermont,25-9,0.5256,25.8,7.4,0.7771,0.4252 (313),0.4749,307,0.4417,,
119,Colorado St,15-15,0.5255,12.2,12.6,0.4919,0.5420 (96),0.5261,93,0.5367,,
120,Colorado,13-16,0.5253,8.6,13.2,0.3945,0.5761 (33),0.5543,29,0.5688,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
121,East Tenn St,19-14,0.5246,19.4,12.4,0.6101,0.5080 (151),0.4723,169,0.4961,,
122,Western Carolina,19-11,0.5246,17.4,8.6,0.6692,0.4636 (240),0.5018,216,0.4763,,
123,Iowa State,15-17,0.5243,11.8,17,0.4097,0.5686 (43),0.5502,39,0.5625,,
124,Oklahoma,13-18,0.5242,9,16,0.36,0.5936 (18),0.5494,18,0.5789,,
125,Boston College,15-16,0.524,11.8,15.6,0.4307,0.5651 (46),0.5352,49,0.5552,,
126,Oral Roberts,19-13,0.5235,18.6,11,0.6284,0.4874 (188),0.4907,186,0.4885,,
127,Virginia,15-16,0.5219,11.4,15.2,0.4286,0.5612 (55),0.5367,56,0.553,,
128,Pacific,20-11,0.5217,19.2,10.2,0.6531,0.4677 (228),0.4982,209,0.4779,,
129,Robert Morris,23-11,0.5216,22.2,9.4,0.7025,0.4565 (255),0.4709,258,0.4613,,
130,UW Milwaukee,18-14,0.5208,17.6,12.4,0.5867,0.4933 (175),0.5098,165,0.4988,,
,,,,,,,,,,,,
,,,,,,,,,,,,
131,Michigan,14-17,0.5202,11.6,16.2,0.4173,0.5599 (61),0.5439,52,0.5546,,
132,Western Kentucky,21-13,0.5195,18.2,11.4,0.6149,0.4849 (194),0.4936,187,0.4878,,
133,Princeton,19-8,0.5191,19.4,7.2,0.7293,0.4338 (301),0.4796,290,0.4491,,
134,Niagara,18-15,0.5191,17.2,13.4,0.5621,0.5079 (152),0.4986,153,0.5048,,
135,Belmont,19-12,0.5184,18.2,10,0.6454,0.4791 (207),0.4699,218,0.476,,
136,Coastal Carolina,24-6,0.5179,22.4,5.6,0.8,0.4011 (332),0.4693,330,0.4238,,
137,UCLA,14-18,0.5178,11.2,17.6,0.3889,0.5705 (41),0.5411,43,0.5607,,
138,Oregon,16-16,0.5171,13.2,16.4,0.4459,0.5477 (80),0.5269,82,0.5408,,
139,Rider,17-16,0.517,17.4,14.8,0.5404,0.5144 (132),0.4986,146,0.5091,,
140,Boston U,19-13,0.5168,18.6,11.8,0.6118,0.4854 (192),0.4847,193,0.4852,,
,,,,,,,,,,,,
,,,,,,,,,,,,
141,Providence,19-Dec,0.5166,10.4,19,0.3537,0.5815 (29),0.5495,27,0.5709,,
142,Stony Brook,21-9,0.5155,20.2,6.6,0.7537,0.4207 (318),0.4667,317,0.436,,
143,Jacksonville,19-12,0.5152,19.4,9.6,0.669,0.4580 (253),0.4758,251,0.4639,,
144,Miami (OH),14-18,0.515,10.8,14,0.4355,0.5542 (68),0.5163,78,0.5416,,
145,Hofstra,18-14,0.5145,16.4,13.2,0.5541,0.4933 (176),0.5174,159,0.5013,,
146,Drexel,16-16,0.5141,14.4,13.2,0.5217,0.5116 (141),0.5115,137,0.5116,,
147,Quinnipiac,23-9,0.5139,20.6,6.2,0.7687,0.4180 (321),0.451,324,0.429,,
148,George Washington,16-14,0.5134,15.6,13.2,0.5417,0.4956 (170),0.5207,154,0.5039,,
149,Nebraska,15-18,0.5133,10.6,16.4,0.3926,0.5597 (62),0.541,53,0.5535,,
150,Western Michigan,17-15,0.513,13.8,12.2,0.5308,0.5126 (138),0.496,148,0.5071,,
,,,,,,,,,,,,
,,,,,,,,,,,,
151,Stephen F. Austin,20-9,0.5125,18.4,7.4,0.7132,0.4357 (299),0.4653,298,0.4456,,
152,Lehigh,22-10,0.5122,18.8,7.6,0.7121,0.4414 (289),0.4537,300,0.4455,,
153,Auburn,14-17,0.5113,10.4,15.4,0.4031,0.5569 (64),0.5282,66,0.5473,,
154,Maine,18-11,0.511,18.8,9.4,0.6667,0.4526 (270),0.472,266,0.4591,,
155,Eastern Kentucky,18-12,0.5103,14.4,8.8,0.6207,0.4710 (216),0.4787,225,0.4735,,
156,St. Bonaventure,14-16,0.5076,11.6,14,0.4531,0.5224 (123),0.5325,115,0.5258,,
157,Utah,14-17,0.5075,12,17,0.4138,0.5427 (95),0.531,87,0.5388,,
158,George Mason,17-14,0.5075,14.6,12.8,0.5328,0.4910 (180),0.5153,164,0.4991,,
159,Arkansas,14-18,0.5066,10,18.4,0.3521,0.5710 (40),0.5324,45,0.5581,,
160,Winthrop,17-13,0.5065,15.4,9.4,0.621,0.4680 (226),0.4692,240,0.4684,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
161,Rutgers,14-17,0.5063,9.6,15.8,0.378,0.5471 (83),0.5531,61,0.5491,,
162,Austin Peay,15-15,0.5059,13.4,13,0.5076,0.5105 (147),0.495,152,0.5053,,
163,Stanford,14-18,0.5054,10.8,16.4,0.3971,0.5451 (88),0.5345,79,0.5415,,
164,Denver,19-13,0.5051,13.8,9,0.6053,0.4710 (215),0.4732,230,0.4718,,
165,Cleveland St,14-17,0.5049,10.8,15.4,0.4122,0.5483 (78),0.511,96,0.5359,,
166,Texas A&M CC,14-15,0.5033,13.2,11.4,0.5366,0.5035 (159),0.4696,177,0.4922,,
167,Detroit,19-14,0.5027,17.4,12.8,0.5762,0.4656 (234),0.5033,208,0.4782,,
168,Radford,17-12,0.5026,15,10,0.6,0.4670 (232),0.4764,238,0.4702,,
169,Eastern Illinois,17-12,0.5023,15.8,10.8,0.594,0.4703 (218),0.4747,231,0.4718,,
170,Southern Illinois,14-15,0.5018,11.6,13.4,0.464,0.5123 (139),0.5185,131,0.5144,,
,,,,,,,,,,,,
,,,,,,,,,,,,
171,Mt St. Mary's,16-15,0.5015,14.4,11.4,0.5581,0.4923 (178),0.4634,201,0.4826,,
172,Washington St,15-15,0.5015,11.8,13.4,0.4683,0.5004 (164),0.537,134,0.5126,,
173,La Salle,18-Dec,0.5012,11.2,17.2,0.3944,0.5433 (94),0.524,92,0.5369,,
174,Idaho,13-16,0.5001,12.6,14.4,0.4667,0.5108 (145),0.512,138,0.5112,,
175,Loyola Marymount,17-15,0.5001,16.2,13.8,0.54,0.4795 (204),0.5012,189,0.4867,,
176,San Jose St,13-17,0.4985,11,13.8,0.4435,0.5257 (116),0.499,127,0.5168,,
177,Middle Tenn St,17-13,0.4971,15.8,11.8,0.5725,0.4678 (227),0.4802,229,0.4719,,
178,Drake,14-19,0.4969,12.4,19,0.3949,0.5385 (102),0.5158,103,0.5309,,
179,Davidson,14-15,0.4968,12.8,14.6,0.4672,0.5127 (137),0.4947,149,0.5067,,
180,St. Peter's,16-14,0.4965,16.8,14.4,0.5385,0.4795 (205),0.4888,202,0.4826,,
,,,,,,,,,,,,
,,,,,,,,,,,,
181,Massachusetts,20-Nov,0.4963,9.4,18,0.3431,0.5559 (66),0.5304,65,0.5474,,
182,Campbell,17-11,0.4961,15.8,9.4,0.627,0.4441 (283),0.4691,280,0.4524,,
183,UA Pine Bluff,17-15,0.4958,15.8,9.8,0.6172,0.4544 (263),0.4573,275,0.4554,,
184,Saint Joseph's,20-Nov,0.4956,8.6,17.6,0.3282,0.5617 (52),0.5307,58,0.5514,,
185,Oregon St,14-17,0.4954,12,15.8,0.4317,0.5106 (146),0.5286,128,0.5166,,
186,Valparaiso,17-Dec,0.494,11.2,13.8,0.448,0.5114 (143),0.5055,144,0.5094,,
187,UT San Antonio,16-11,0.4922,15.2,9.4,0.6179,0.4393 (291),0.4721,286,0.4503,,
188,TCU,19-Nov,0.491,9.4,18.2,0.3406,0.5496 (76),0.5243,81,0.5412,,
189,Bowling Green,13-16,0.4908,11.8,13.6,0.4646,0.4951 (171),0.5085,163,0.4996,,
190,Fresno St,14-18,0.4903,10.8,16,0.403,0.5254 (118),0.5075,121,0.5194,,
,,,,,,,,,,,,
,,,,,,,,,,,,
191,UCF,14-17,0.4902,12,15.8,0.4317,0.5051 (157),0.5188,143,0.5097,,
192,Seattle,17-14,0.4868,15.4,11.2,0.5789,0.4433 (285),0.4819,273,0.4561,,
193,SE Louisiana,15-12,0.4853,12.6,8.8,0.5888,0.4467 (277),0.4592,284,0.4509,,
194,Penn State,20-Nov,0.4851,9.4,20.4,0.3154,0.5475 (81),0.5301,77,0.5417,,
195,Central Michigan,14-15,0.4829,12.4,11.8,0.5124,0.4648 (236),0.4897,227,0.4731,,
196,Tennessee Tech,13-17,0.4825,12.6,14.6,0.4632,0.4894 (181),0.4881,185,0.489,,
197,Northern Arizona,14-Dec,0.4813,12,11.6,0.5085,0.4621 (243),0.4926,228,0.4723,,
198,The Citadel,14-16,0.4812,13.6,15.2,0.4722,0.4832 (199),0.4863,197,0.4842,,
199,Jackson St,18-12,0.4808,18.4,10.4,0.6389,0.4207 (317),0.4429,326,0.4281,,
200,Montana St,13-14,0.4795,12.6,12.4,0.504,0.4629 (241),0.4881,232,0.4713,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
201,Eastern Michigan,15-15,0.4786,13.4,13,0.5076,0.4601 (245),0.4867,239,0.469,,
202,Arkansas St,15-14,0.4785,13.8,12.8,0.5188,0.4574 (254),0.4806,246,0.4651,,
203,Boise St,14-17,0.4773,12.4,16.2,0.4336,0.4845 (195),0.5065,180,0.4918,,
204,CS Fullerton,14-15,0.477,14.4,14.6,0.4966,0.4648 (235),0.4817,236,0.4704,,
205,San Francisco,18-Oct,0.4769,8.4,15.6,0.35,0.5252 (119),0.5073,122,0.5193,,
206,Canisius,15-17,0.4769,14.2,15,0.4863,0.4647 (237),0.492,224,0.4738,,
207,Lipscomb,16-13,0.4766,16,12.2,0.5674,0.4301 (309),0.479,295,0.4464,,
208,SMU,17-Dec,0.4752,9.6,17.4,0.3556,0.5192 (126),0.5066,129,0.515,,
209,Lafayette,19-13,0.4751,16.2,10.2,0.6136,0.4149 (325),0.4571,325,0.4289,,
210,Iowa,22-Oct,0.4746,6.8,21.6,0.2394,0.5644 (47),0.5304,57,0.553,,
,,,,,,,,,,,,
,,,,,,,,,,,,
211,South Alabama,15-15,0.4734,14.2,14.2,0.5,0.4555 (260),0.4827,247,0.4646,,
212,DePaul,23-Aug,0.4732,5.6,22.2,0.2014,0.5714 (38),0.5485,38,0.5638,,
213,Loyola (Chicago),16-Dec,0.4717,11.2,14.4,0.4375,0.4672 (229),0.5148,200,0.483,,
214,Delaware St,14-12,0.4716,12,10,0.5455,0.4450 (282),0.4511,293,0.447,,
215,Loyola (Maryland),13-17,0.4705,13.4,16.2,0.4527,0.4700 (219),0.4891,214,0.4764,,
216,South Dakota,18-9,0.4704,17.2,7.4,0.6992,0.3650 (345),0.4524,344,0.3941,,
217,Portland St,19-Nov,0.47,10.6,15.4,0.4077,0.4951 (172),0.4823,181,0.4908,,
218,Florida Atlantic,16-Dec,0.47,11.2,13.6,0.4516,0.4723 (212),0.4837,217,0.4761,,
219,UNC Asheville,16-Dec,0.4699,10.4,14,0.4262,0.4960 (169),0.4615,196,0.4845,,
220,Ball State,14-15,0.4697,11.6,14.2,0.4496,0.4641 (238),0.5009,215,0.4763,,
,,,,,,,,,,,,
,,,,,,,,,,,,
221,Mercer,14-17,0.4687,12.4,15,0.4526,0.4716 (214),0.479,223,0.4741,,
222,Indiana,21-Oct,0.4683,7.2,21.4,0.2517,0.5447 (90),0.5319,83,0.5404,,
223,LSU,20-Nov,0.4653,6.6,19.2,0.2558,0.5346 (108),0.5363,97,0.5352,,
224,IPFW,14-15,0.4647,12.8,12.6,0.5039,0.4374 (296),0.48,282,0.4516,,
225,South Carolina St,15-14,0.4644,14.6,11.2,0.5659,0.4226 (315),0.4463,321,0.4305,,
226,Manhattan,20-Nov,0.464,10.2,18.4,0.3566,0.5054 (154),0.4884,162,0.4997,,
227,Texas Southern,15-16,0.4614,14.2,12.8,0.5259,0.4403 (290),0.4388,311,0.4398,,
228,Wyoming,21-Aug,0.4611,5.2,20.2,0.2047,0.5642 (48),0.5112,67,0.5465,,
229,Binghamton,18-Nov,0.4607,9,14.4,0.3846,0.4920 (179),0.474,191,0.486,,
230,San Diego,21-Oct,0.4597,9.6,21.4,0.3097,0.5091 (150),0.511,142,0.5097,,
,,,,,,,,,,,,
,,,,,,,,,,,,
231,East Carolina,21-Jul,0.4585,7.8,21.8,0.2635,0.5276 (115),0.5151,119,0.5235,,
232,Liberty,16-Dec,0.4576,12,14.8,0.4478,0.4557 (259),0.4715,260,0.4609,,
233,Santa Clara,21-Sep,0.4568,9.4,22.6,0.2938,0.5186 (127),0.4962,139,0.5111,,
234,South Dakota St,16-Dec,0.4564,11.2,15.2,0.4242,0.4593 (249),0.4827,242,0.4671,,
235,UT Arlington,14-Dec,0.4563,10.8,13.2,0.45,0.4600 (248),0.4551,268,0.4583,,
236,North Florida,18-Dec,0.4558,12.4,16.8,0.4247,0.4636 (239),0.4714,244,0.4662,,
237,UNC Wilmington,22-Sep,0.4555,9,21.6,0.2941,0.5091 (149),0.5097,145,0.5093,,
238,Chattanooga,13-18,0.4551,10.2,15.6,0.3953,0.4691 (222),0.4869,222,0.475,,
239,Delaware,24-Jul,0.4551,5.8,23.2,0.2,0.5613 (54),0.4978,84,0.5401,,
240,Long Island,14-17,0.4531,11.6,13,0.4715,0.4440 (284),0.453,294,0.447,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
241,James Madison,13-20,0.4526,10.2,16.8,0.3778,0.4671 (231),0.4984,211,0.4775,,
242,New Hampshire,17-Dec,0.4523,10,13.8,0.4202,0.4606 (244),0.4678,255,0.463,,
243,Texas St,16-Nov,0.4523,9.8,13.2,0.4261,0.4528 (269),0.4774,259,0.461,,
244,UC Davis,18-Dec,0.4522,11.2,15.6,0.4179,0.4558 (258),0.4793,253,0.4636,,
245,Air Force,21-Aug,0.4521,5.6,20.2,0.2171,0.5389 (101),0.5135,104,0.5305,,
