2010-2011 RPI,,,,,,,,,,,,
,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,
,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,
,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
41,Richmond,27-7,0.5851,26.2,7,0.7892,0.5121 (141),0.527,126,0.5171,,
42,Cleveland St,24-8,0.5841,22,6.8,0.7639,0.5266 (113),0.5194,105,0.5242,,
43,Missouri St,25-8,0.5838,21.8,6,0.7842,0.5173 (128),0.5165,128,0.517,,
44,UCLA,22-10,0.5814,17.6,8.8,0.6667,0.5623 (50),0.5343,50,0.553,,
45,Michigan St,18-14,0.5795,14.4,12,0.5455,0.6055 (13),0.5616,12,0.5908,,
46,St. Mary's,23-8,0.5792,20.2,7.2,0.7372,0.5326 (99),0.5145,101,0.5266,,
47,Georgia,21-11,0.5775,19,11,0.6333,0.5668 (44),0.543,40,0.5589,,
48,Illinois,19-13,0.5772,14.6,11,0.5703,0.5924 (21),0.5538,19,0.5795,,
49,VCU,23-11,0.5763,21.8,9.8,0.6899,0.5466 (78),0.5221,85,0.5384,,
50,Colorado St,18-12,0.5758,16.8,11.2,0.6,0.5837 (29),0.5359,35,0.5678,,
,,,,,,,,,,,,
,,,,,,,,,,,,
51,Belmont,30-4,0.5757,30.4,2.4,0.9268,0.4422 (285),0.4917,261,0.4587,,
52,Michigan,19-13,0.5754,15.8,13,0.5486,0.5981 (19),0.557,16,0.5844,,
53,Oakland,24-9,0.5749,24.4,7,0.7771,0.5133 (138),0.4959,142,0.5075,,
54,Marshall,20-11,0.5737,17.6,9,0.6617,0.5565 (64),0.52,72,0.5444,,
55,Florida St,21-10,0.5732,19.4,9.2,0.6783,0.5383 (90),0.538,87,0.5382,,
56,Gonzaga,23-9,0.5728,20.2,8.6,0.7014,0.5322 (100),0.5254,94,0.5299,,
57,Clemson,21-11,0.5719,16.2,9,0.6429,0.5525 (71),0.5397,62,0.5482,,
58,Boston College,20-12,0.5711,16.8,11.2,0.6,0.5717 (40),0.541,38,0.5614,,
59,UTEP,24-9,0.5701,18.8,8.2,0.6963,0.5300 (106),0.5241,98,0.528,,
60,Wichita St,23-8,0.57,21.4,8.8,0.7086,0.5318 (101),0.5076,107,0.5237,,
,,,,,,,,,,,,
,,,,,,,,,,,,
61,Oklahoma St,19-13,0.5699,14.6,10.2,0.5887,0.5746 (37),0.5415,37,0.5636,,
62,Virginia Tech,21-11,0.5695,18.2,9.8,0.65,0.5425 (82),0.5428,77,0.5426,,
63,Southern Miss,19-10,0.5688,16.6,8.4,0.664,0.5414 (87),0.5284,88,0.5371,,
64,Marquette,20-14,0.5684,16,12.8,0.5556,0.5831 (30),0.5518,30,0.5726,,
65,Colorado,20-13,0.566,15.6,10.2,0.6047,0.5580 (60),0.5434,49,0.5532,,
66,New Mexico,20-12,0.5631,17.6,10.4,0.6286,0.5366 (94),0.5506,80,0.5412,,
67,Southern California,19-14,0.5615,16.2,12.4,0.5664,0.5702 (41),0.5392,39,0.5599,,
68,Iona,22-11,0.5614,21.2,9.4,0.6928,0.5317 (103),0.4896,123,0.5176,,
69,UCF,18-11,0.5611,14.8,10.2,0.592,0.5663 (45),0.52,54,0.5508,,
70,Dayton,22-13,0.5608,18.8,12.2,0.6065,0.5566 (63),0.5234,69,0.5455,,
,,,,,,,,,,,,
,,,,,,,,,,,,
71,Valparaiso,21-11,0.5603,19,9,0.6786,0.5269 (111),0.5087,116,0.5208,,
72,Coll of Charleston,24-10,0.5599,22.8,7.6,0.75,0.5038 (152),0.4822,165,0.4966,,
73,Miami (FL),19-14,0.5593,16.2,12.4,0.5664,0.5684 (43),0.5337,43,0.5569,,
74,Drexel,21-10,0.5584,19.4,8,0.708,0.5005 (155),0.5247,138,0.5086,,
75,Long Island,27-5,0.5577,26.6,4.6,0.8526,0.4478 (266),0.4828,257,0.4594,,
76,California,17-14,0.5568,14.6,14.4,0.5034,0.5912 (23),0.5412,27,0.5745,,
77,Morehead St,22-9,0.5564,20.4,6.2,0.7669,0.4930 (175),0.4728,186,0.4863,,
78,Kent St,22-11,0.556,18.8,8.6,0.6861,0.5232 (116),0.4916,133,0.5127,,
79,Bucknell,25-8,0.555,23.4,6,0.7959,0.4715 (221),0.4812,222,0.4747,,
80,Alabama,21-11,0.5545,16.2,8.6,0.6532,0.5164 (130),0.5322,114,0.5217,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
81,Tulsa,19-13,0.5543,15.8,11.4,0.5809,0.5594 (55),0.5175,70,0.5454,,
82,Washington St,19-12,0.5532,16.6,11.2,0.5971,0.5398 (89),0.536,84,0.5385,,
83,Mississippi,20-13,0.5525,16.4,11.8,0.5816,0.5484 (76),0.5317,75,0.5429,,
84,Indiana St,19-13,0.5522,17.8,11,0.6181,0.5418 (86),0.507,93,0.5302,,
85,Minnesota,17-14,0.5522,13.8,13.6,0.5036,0.5760 (35),0.553,34,0.5684,,
86,Hofstra,20-11,0.5512,20.4,10.6,0.6581,0.5126 (140),0.5217,129,0.5156,,
87,Northwestern,18-13,0.5502,14.8,11.4,0.5649,0.5445 (79),0.547,71,0.5453,,
88,James Madison,21-11,0.5501,20.6,10.2,0.6688,0.5042 (151),0.5231,135,0.5105,,
89,Nebraska,19-12,0.5501,12.6,10,0.5575,0.5590 (57),0.5247,66,0.5476,,
90,Long Beach,20-11,0.5465,19.2,9.4,0.6713,0.5148 (132),0.4852,146,0.5049,,
,,,,,,,,,,,,
,,,,,,,,,,,,
91,East Tenn St,21-11,0.5453,20.6,8.6,0.7055,0.4947 (168),0.4865,175,0.492,,
92,St. Peter's,20-13,0.5431,20.4,11,0.6497,0.5137 (135),0.4956,141,0.5076,,
93,UW Milwaukee,19-13,0.5424,18.2,12.2,0.5987,0.5313 (104),0.5084,108,0.5237,,
94,Baylor,17-13,0.5424,12.2,11.8,0.5083,0.5658 (46),0.5297,48,0.5538,,
95,Vermont,23-8,0.5417,22.2,7.2,0.7551,0.4693 (227),0.473,230,0.4706,,
96,East Carolina,15-15,0.5416,13.4,13.8,0.4926,0.5741 (38),0.5256,41,0.5579,,
97,Fairfield,24-7,0.5412,22.4,6.6,0.7724,0.4484 (264),0.4958,242,0.4642,,
98,Maryland,19-14,0.541,15,13.2,0.5319,0.5517 (72),0.5286,73,0.544,,
99,Northern Colorado,19-10,0.5402,16.6,6.4,0.7217,0.4812 (200),0.4765,204,0.4796,,
100,Robert Morris,18-14,0.5386,16.4,10,0.6212,0.5222 (118),0.489,134,0.5111,,
,,,,,,,,,,,,
,,,,,,,,,,,,
101,Rhode Island,19-13,0.5386,17.4,11.8,0.5959,0.5180 (126),0.5224,122,0.5195,,
102,Seton Hall,13-18,0.5374,11.4,18,0.3878,0.6043 (15),0.5533,14,0.5873,,
103,Portland,20-11,0.5365,17.6,9.8,0.6423,0.4972 (162),0.5094,153,0.5013,,
104,Coastal Carolina,24-5,0.5365,23.6,5.8,0.8027,0.4304 (311),0.4823,303,0.4477,,
105,Rider,23-10,0.5354,23.8,10.4,0.6959,0.4710 (222),0.5038,201,0.4819,,
106,Montana,19-10,0.535,17.4,6.8,0.719,0.4702 (224),0.4805,224,0.4737,,
107,Akron,22-12,0.5345,18.4,9.2,0.6667,0.4896 (184),0.4922,180,0.4905,,
108,Duquesne,17-12,0.5345,15.8,11.2,0.5852,0.5139 (134),0.5249,125,0.5176,,
109,Wofford,21-12,0.534,21,11.2,0.6522,0.4957 (165),0.4923,171,0.4946,,
110,Air Force,14-14,0.5339,11.2,11.6,0.4912,0.5581 (58),0.5284,63,0.5482,,
,,,,,,,,,,,,
,,,,,,,,,,,,
111,Miami (OH),15-16,0.533,12.2,13.2,0.4803,0.5747 (36),0.5024,55,0.5506,,
112,Northern Iowa,18-13,0.5326,15.6,11.4,0.5778,0.5202 (120),0.5123,124,0.5176,,
113,Boise St,19-12,0.531,19,10.8,0.6376,0.4916 (178),0.503,168,0.4954,,
114,Florida Atlantic,19-10,0.531,19.4,8.8,0.6879,0.4720 (220),0.4919,208,0.4786,,
115,IUPUI,17-14,0.5299,17,11.2,0.6028,0.5134 (137),0.4898,145,0.5056,,
116,Furman,20-10,0.5297,20,8,0.7143,0.4597 (240),0.4852,233,0.4682,,
117,Murray St,21-8,0.5297,20.2,7.6,0.7266,0.4590 (242),0.474,243,0.464,,
118,Utah,18-Dec,0.5269,10.4,16.8,0.3824,0.5929 (20),0.5394,26,0.575,,
119,Mississippi St,17-14,0.526,13.8,14,0.4964,0.5419 (85),0.5239,90,0.5359,,
120,San Francisco,15-14,0.5255,12.6,12,0.5122,0.5420 (84),0.5058,95,0.5299,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
121,Rutgers,15-17,0.5246,12.2,15.4,0.442,0.5510 (73),0.5544,53,0.5522,,
122,St. Bonaventure,16-14,0.5226,14.4,12.8,0.5294,0.5198 (122),0.5211,118,0.5203,,
123,Creighton,19-14,0.5221,14.2,11.6,0.5504,0.5163 (131),0.5056,132,0.5127,,
124,Wright St,17-14,0.5211,14.2,12,0.542,0.5140 (133),0.5143,130,0.5141,,
125,North Carolina St,15-16,0.521,11.4,14.4,0.4419,0.5526 (70),0.537,67,0.5474,,
126,Oklahoma,14-17,0.5205,9.6,15,0.3902,0.5780 (33),0.5359,36,0.564,,
127,Arkansas,18-13,0.5204,12.8,11.8,0.5203,0.5169 (129),0.5275,117,0.5204,,
128,American,22-9,0.5203,22,8.2,0.7285,0.4335 (307),0.4856,291,0.4509,,
129,Boston U,21-13,0.5199,18.2,9.8,0.65,0.4749 (212),0.4796,215,0.4765,,
130,Austin Peay,18-13,0.5196,18,11,0.6207,0.4932 (173),0.4712,189,0.4859,,
,,,,,,,,,,,,
,,,,,,,,,,,,
131,Oral Roberts,19-15,0.5193,18.2,12.6,0.5909,0.4974 (161),0.4914,169,0.4954,,
132,Lipscomb,16-13,0.5188,15.2,9.4,0.6179,0.4871 (186),0.4832,190,0.4858,,
133,North Texas,20-11,0.5152,17.2,8.6,0.6667,0.4604 (237),0.4733,240,0.4647,,
134,South Carolina,14-16,0.5148,10.8,14.8,0.4219,0.5480 (77),0.5413,68,0.5458,,
135,Oregon,15-17,0.5145,12.2,17.4,0.4122,0.5581 (59),0.5299,60,0.5487,,
136,Evansville,14-15,0.5141,10.8,11.8,0.4779,0.5349 (96),0.5085,102,0.5261,,
137,Idaho,17-13,0.5139,16.6,12.2,0.5764,0.4943 (170),0.4908,173,0.4931,,
138,Iowa State,16-16,0.5136,11.6,14.8,0.4394,0.5427 (81),0.5295,86,0.5383,,
139,New Mexico St,14-17,0.5126,11.2,15.4,0.4211,0.5624 (49),0.5045,74,0.5431,,
140,Delaware,14-17,0.5116,14.4,15.8,0.4768,0.5287 (107),0.5124,110,0.5233,,
,,,,,,,,,,,,
,,,,,,,,,,,,
141,Virginia,16-15,0.5114,13.2,15,0.4681,0.5187 (125),0.5403,103,0.5259,,
142,Jacksonville,18-11,0.5107,17.2,8.6,0.6667,0.4458 (273),0.4845,260,0.4587,,
143,Detroit,16-16,0.5101,14.4,13.2,0.5217,0.5077 (147),0.5032,143,0.5062,,
144,Quinnipiac,22-9,0.5097,20.8,9.4,0.6887,0.4350 (304),0.4803,293,0.4501,,
145,George Washington,17-14,0.508,16.2,14.8,0.5226,0.4958 (164),0.518,150,0.5032,,
146,Central Connecticut,19-12,0.5075,16.6,8.8,0.6535,0.4504 (259),0.4757,259,0.4589,,
147,UNC Asheville,16-13,0.5072,16.4,11.8,0.5816,0.4818 (198),0.4836,196,0.4824,,
148,North Florida,15-19,0.5055,16.2,17.4,0.4821,0.5270 (110),0.4856,131,0.5132,,
149,San Jose St,16-15,0.505,15.2,14.2,0.517,0.5047 (149),0.4935,155,0.5009,,
150,Weber St,15-13,0.5041,13.4,10.2,0.5678,0.4825 (195),0.4838,195,0.4829,,
,,,,,,,,,,,,
,,,,,,,,,,,,
151,Massachusetts,14-15,0.503,12.4,15.8,0.4397,0.5257 (115),0.5209,106,0.5241,,
152,Northern Arizona,17-12,0.5027,15,8,0.6522,0.4421 (286),0.4742,283,0.4528,,
153,Hampton,23-8,0.5026,23,7.2,0.7616,0.3913 (338),0.4661,335,0.4162,,
154,Providence,15-17,0.5025,9.4,15,0.3852,0.5380 (91),0.5487,79,0.5416,,
155,South Florida,23-Oct,0.5022,7.6,21.8,0.2585,0.5986 (17),0.5529,17,0.5834,,
156,Yale,14-13,0.5019,13.2,11.4,0.5366,0.4911 (179),0.4886,181,0.4903,,
157,UC Santa Barbara,16-13,0.5017,15.2,11.4,0.5714,0.4788 (205),0.4777,209,0.4784,,
158,Santa Clara,17-14,0.5015,14.6,13.6,0.5177,0.4921 (176),0.5038,167,0.496,,
159,McNeese St,17-11,0.501,14.2,7.8,0.6455,0.4462 (270),0.4663,282,0.4529,,
160,Stanford,15-16,0.5008,11.8,14.8,0.4436,0.5128 (139),0.5341,119,0.5199,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
161,Arizona St,19-Dec,0.4992,9.6,17.8,0.3504,0.5538 (69),0.5388,59,0.5488,,
162,Hawai'i,17-12,0.4991,13.4,11.2,0.5447,0.4763 (210),0.4991,192,0.4839,,
163,Ohio,18-15,0.4978,16,16.2,0.4969,0.5004 (156),0.4937,161,0.4982,,
164,Saint Joseph's,22-Nov,0.4973,11,20.8,0.3459,0.5616 (52),0.5201,65,0.5478,,
165,Texas Tech,13-19,0.4973,9.4,18.2,0.3406,0.5558 (66),0.5368,58,0.5495,,
166,Buffalo,17-13,0.4966,14.2,10.6,0.5726,0.4600 (239),0.4937,229,0.4712,,
167,Ball State,18-12,0.4955,16.4,10.4,0.6119,0.4432 (281),0.4838,266,0.4567,,
168,Georgia Tech,13-18,0.4953,9.4,16.4,0.3643,0.5444 (80),0.5282,82,0.539,,
169,La Salle,15-18,0.4953,13.4,19.6,0.4061,0.5305 (105),0.5141,104,0.525,,
170,Wagner,13-17,0.4949,11.8,14.2,0.4538,0.5228 (117),0.4801,137,0.5086,,
,,,,,,,,,,,,
,,,,,,,,,,,,
171,UW Green Bay,13-18,0.4944,11,14.8,0.4264,0.5202 (121),0.5108,127,0.517,,
172,Western Carolina,17-15,0.4938,15.4,11,0.5833,0.4529 (255),0.486,244,0.464,,
173,Pennsylvania,13-15,0.4937,12.2,13,0.4841,0.4921 (177),0.5065,164,0.4969,,
174,Western Michigan,19-12,0.4931,17.8,11.2,0.6138,0.4383 (299),0.4821,281,0.4529,,
175,Saint Louis,19-Nov,0.4929,8.6,17.8,0.3258,0.5623 (51),0.5212,61,0.5486,,
176,Sam Houston,14-13,0.4928,14.4,12.6,0.5333,0.4842 (189),0.4696,206,0.4793,,
177,Arkansas St,15-15,0.4925,12.2,11,0.5259,0.4852 (188),0.4738,202,0.4814,,
178,Northeastern,20-Nov,0.4923,9.8,18.4,0.3475,0.5545 (68),0.5129,81,0.5406,,
179,Loyola (Maryland),15-15,0.4922,14.6,14.2,0.5069,0.4823 (196),0.4972,184,0.4873,,
180,IPFW,17-12,0.4922,15.8,10,0.6124,0.4418 (289),0.4726,285,0.4521,,
,,,,,,,,,,,,
,,,,,,,,,,,,
181,Canisius,15-15,0.4914,13,12.6,0.5078,0.4910 (180),0.4757,188,0.4859,,
182,Davidson,16-14,0.4897,14.8,11.6,0.5606,0.4535 (254),0.4912,236,0.4661,,
183,South Dakota St,17-12,0.4892,17,11.6,0.5944,0.4431 (282),0.476,276,0.4541,,
184,Liberty,16-13,0.489,14.4,11,0.5669,0.4536 (253),0.4817,246,0.463,,
185,Iowa,20-Nov,0.4884,8.6,19.6,0.305,0.5485 (75),0.5517,57,0.5496,,
186,Columbia,14-13,0.4884,12.4,11,0.5299,0.4684 (228),0.4868,223,0.4745,,
187,Rice,18-Dec,0.4881,10.4,17.6,0.3714,0.5326 (98),0.5158,100,0.527,,
188,UA Little Rock,17-16,0.4877,15,14,0.5172,0.4764 (209),0.4805,212,0.4778,,
189,Tennessee Tech,17-12,0.4874,16.6,11.6,0.5887,0.4460 (272),0.4691,277,0.4537,,
190,Pacific,14-15,0.4873,14,13.4,0.5109,0.4788 (204),0.4806,205,0.4794,,
,,,,,,,,,,,,
,,,,,,,,,,,,
191,Texas Southern,19-12,0.4863,18.6,8.4,0.6889,0.4020 (333),0.4522,331,0.4188,,
192,Indiana,20-Dec,0.4856,7.2,18,0.2857,0.5564 (65),0.5441,52,0.5523,,
193,Nevada,19-Dec,0.485,10,17,0.3704,0.5349 (95),0.4999,111,0.5232,,
194,UT San Antonio,16-13,0.4849,14.8,10.2,0.592,0.4402 (293),0.4672,298,0.4492,,
195,Appalachian St,14-15,0.4847,13.6,13,0.5113,0.4683 (229),0.491,219,0.4759,,
196,Western Kentucky,16-16,0.4834,15.6,15.6,0.5,0.4740 (215),0.4858,211,0.4779,,
197,Loyola (Chicago),16-15,0.483,15.2,15.4,0.4967,0.4649 (233),0.5055,210,0.4784,,
198,Bethune Cookman,17-12,0.4822,17.8,10.8,0.6224,0.4287 (313),0.4492,320,0.4355,,
199,Chattanooga,14-16,0.4811,13.2,14.4,0.4783,0.4826 (194),0.4811,198,0.4821,,
200,VMI,14-13,0.4783,14,11.8,0.5426,0.4475 (267),0.4757,264,0.4569,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
201,Cal Poly,15-14,0.478,15.4,12,0.562,0.4378 (302),0.4744,295,0.45,,
202,Siena,13-18,0.4779,11.4,16.8,0.4043,0.5034 (153),0.5006,151,0.5025,,
203,Fresno St,13-17,0.476,10.2,14.6,0.4113,0.4937 (171),0.5054,163,0.4976,,
204,Presbyterian,13-18,0.476,13,15.2,0.461,0.4807 (201),0.4814,203,0.481,,
205,Lehigh,16-15,0.4758,15.2,13,0.539,0.4423 (283),0.4794,273,0.4547,,
206,SMU,14-14,0.4743,10.8,13.6,0.4426,0.4749 (213),0.505,191,0.4849,,
207,Southern Illinois,13-19,0.4742,11,18.6,0.3716,0.5084 (143),0.5086,139,0.5084,,
208,TCU,22-Nov,0.473,8.2,20.8,0.2828,0.5379 (93),0.5334,89,0.5364,,
209,Morgan St,17-14,0.4727,14.6,10.8,0.5748,0.4256 (317),0.465,317,0.4387,,
210,Cornell,18-Oct,0.4711,8.8,16,0.3548,0.5191 (123),0.4913,136,0.5098,,
,,,,,,,,,,,,
,,,,,,,,,,,,
211,Middle Tenn St,15-16,0.47,13,13.6,0.4887,0.4548 (246),0.4817,245,0.4638,,
212,UMKC,15-14,0.4697,13,12,0.52,0.4435 (279),0.4718,280,0.453,,
213,St. Francis (NY),15-15,0.4688,13,12.2,0.5159,0.4379 (301),0.4835,279,0.4531,,
214,UL Lafayette,13-14,0.4687,11,11.2,0.4955,0.4487 (263),0.4818,255,0.4598,,
215,Maine,14-15,0.4685,14.8,14.6,0.5034,0.4494 (261),0.4716,265,0.4568,,
216,Albany,16-16,0.4676,16,15.2,0.5128,0.4417 (290),0.4741,284,0.4525,,
217,Drake,13-18,0.4672,9.8,16,0.3798,0.4898 (183),0.5094,166,0.4963,,
218,UNC Wilmington,13-18,0.4669,10.2,16,0.3893,0.4812 (199),0.5158,174,0.4928,,
219,Oregon St,20-Nov,0.4668,7.8,18,0.3023,0.5217 (119),0.5213,115,0.5216,,
220,Lafayette,19-Dec,0.4667,11.2,16.2,0.4088,0.4957 (166),0.4665,187,0.486,,
,,,,,,,,,,,,
,,,,,,,,,,,,
221,Mercer,14-18,0.4665,12,16.8,0.4167,0.4836 (190),0.4819,194,0.4831,,
222,Winthrop,17-Nov,0.4659,9.8,14.6,0.4016,0.4931 (174),0.4759,183,0.4874,,
223,Georgia St,19-Dec,0.4659,9.6,16.6,0.3664,0.4992 (158),0.4987,158,0.499,,
224,Texas St,14-15,0.4658,11.6,12.2,0.4874,0.4602 (238),0.4555,262,0.4586,,
225,Charlotte,20-Oct,0.4655,8,18.4,0.303,0.5191 (124),0.5207,121,0.5196,,
226,SE Louisiana,14-Dec,0.4647,11.6,10.8,0.5179,0.4382 (300),0.4646,307,0.447,,
227,LSU,21-Nov,0.4646,9,21.8,0.2922,0.5263 (114),0.5137,113,0.5221,,
228,William & Mary,22-Sep,0.4643,7.4,20,0.2701,0.5380 (92),0.5112,97,0.5291,,
229,Stephen F. Austin,14-11,0.4621,12.4,9.4,0.5688,0.4093 (330),0.4608,327,0.4265,,
230,Mt St. Mary's,21-Nov,0.4613,9,16.6,0.3516,0.5080 (146),0.4777,162,0.4979,,
,,,,,,,,,,,,
,,,,,,,,,,,,
231,North Carolina A&T,17-Dec,0.4607,10.4,12.2,0.4602,0.4625 (235),0.4576,252,0.4609,,
232,Tennessee St,16-Dec,0.4594,9.6,11.6,0.4528,0.4594 (241),0.4659,251,0.4616,,
233,Bradley,20-Nov,0.4591,9,19.2,0.3191,0.5044 (150),0.5083,144,0.5057,,
234,DePaul,24-Jul,0.459,5,24.8,0.1678,0.5610 (53),0.5463,45,0.5561,,
235,Charleston Southern,16-Dec,0.4581,10,12.4,0.4464,0.4540 (249),0.4781,249,0.462,,
236,Tulane,17-Oct,0.457,8.4,15.4,0.3529,0.4832 (191),0.5088,177,0.4917,,
237,Northwestern St,16-13,0.4566,13.6,9.8,0.5812,0.3897 (339),0.4657,336,0.415,,
238,North Dakota St,15-Dec,0.4563,9.6,11.8,0.4486,0.4506 (258),0.4755,258,0.4589,,
239,Houston,18-Oct,0.4562,7.6,16,0.322,0.4944 (169),0.5139,156,0.5009,,
240,Stony Brook,14-17,0.4557,14,15.8,0.4698,0.4402 (294),0.4728,290,0.4511,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
241,Nicholls St,14-Oct,0.4557,8.4,10.4,0.4468,0.4544 (247),0.467,263,0.4586,,
242,Brown,17-Oct,0.4545,8.4,14.2,0.3717,0.4830 (193),0.4802,199,0.4821,,
243,Pepperdine,21-Nov,0.4539,9.4,18.6,0.3357,0.4903 (182),0.4994,172,0.4933,,
244,Denver,13-17,0.4528,9.4,14.6,0.3917,0.4707 (223),0.4782,227,0.4732,,
245,Bowling Green,13-19,0.4515,11,16.6,0.3986,0.4584 (243),0.4904,232,0.4691,,
246,Coppin St,13-14,0.4507,11.8,11.2,0.513,0.4107 (328),0.4685,326,0.43,,
